start	direction_in_starv
2255921	1
3301368	1
9031235	1
7602307	1
14850052	1
4318033	1
5967247	1
11851554	1
7401132	1
7403291	1
3987940	1
4446586	1
2686640	1
10750498	1
7536104	1
5354181	1
11526918	1
14391860	1
5402882	1
13325230	1
7117808	1
7112867	1
8549513	1
5942390	1
6081782	1
5463117	1
585807	1
14031147	1
14020361	1
14018799	1
14034954	1
4159014	1
4162035	1
4165075	1
2802803	1
11640687	1
5300852	1
8407630	1
7614176	1
3935272	1
4996835	1
10383144	1
948569	1
8394726	1
3101851	1
9879183	1
7800455	1
9888356	1
5018783	1
6295067	1
1655616	1
14906792	1
7962052	1
3778089	1
6009782	1
5776093	1
9669415	1
9471550	1
6900949	1
3666490	1
6436112	1
7389054	1
7454660	1
12686116	1
5006706	1
5546118	1
6554729	1
8928750	1
7269119	1
10562970	1
9310319	1
7422785	1
14855901	1
3999300	1
11592246	1
5992661	1
3822883	1
10086265	1
10074994	1
10072578	1
13402448	1
7384398	1
7404950	1
9712811	1
11616816	1
9435465	1
9042396	1
8330450	1
8732219	1
8014406	1
7574240	1
7582106	1
8779731	1
12421239	1
12430028	1
8424993	1
7354491	1
8174888	1
14271893	1
10021702	1
10023798	1
11680899	1
12232712	1
11572093	1
9364099	1
10150280	1
8384931	1
13184852	1
7079562	1
10543024	1
9155464	1
7640348	1
9793756	1
9504403	1
7826442	1
15053608	1
8826167	1
11263066	1
9016755	1
9000097	1
9251838	1
14788125	1
12272949	1
8606549	1
7339232	1
8296917	1
8876319	1
8869715	1
8853589	1
12041035	1
10519360	1
12635172	1
9149673	1
7138482	1
8513900	1
9850020	1
12505114	1
12108588	1
8546063	1
7188465	1
7183053	1
12183688	1
11947001	1
8275665	1
9645638	1
9653021	1
12603758	1
12631185	1
12624234	1
11701852	1
9973381	1
8134115	1
8151862	1
8139468	1
7480108	1
7486648	1
7491816	1
12551537	1
11629641	1
11631644	1
11634613	1
11649982	1
11643021	1
11638482	1
13626518	1
13806917	1
13756730	1
11623115	1
11830985	1
11836460	1
12088119	1
13536967	1
14436810	1
14642714	1
10107349	1
10122459	1
10300568	1
10438075	1
10264306	1
7460856	1
5919055	1
10625388	1
5986488	1
5491424	1
4409689	1
5401757	1
4094160	1
6970363	1
6974558	1
5230549	1
5808421	1
10831874	1
10817342	1
4451194	1
4236954	1
4610143	1
5050040	1
5052414	1
6236134	1
3895764	1
1832897	1
995781	1
6482440	1
4557653	1
6629569	1
2250131	1
3710090	1
4906839	1
5433905	1
6425745	1
2645266	1
2650737	1
5627813	1
5624601	1
969088	1
5008770	1
10799623	1
10782115	1
4821929	1
5530614	1
3410013	1
6365031	1
6366331	1
2599979	1
3141704	1
3085014	1
5566343	1
1077425	1
388470	1
4481198	1
3839801	1
6157448	1
3932210	1
6706757	1
6741276	1
484039	1
3352434	1
4706576	1
673165	1
2026316	1
1988246	1
2034322	1
2333338	1
2293127	1
2377089	1
3338367	1
3533885	1
3502736	1
3439364	1
3462258	1
3472965	1
209281	1
1223948	1
3015742	1
562736	1
2915176	1
2866506	1
2759023	1
2776364	1
1885161	1
1816028	1
1808092	1
882918	1
889767	1
5131520	1
4537447	1
841742	1
6386149	1
6660436	1
6665077	1
6093307	1
1107578	1
8824401	1
8730905	1
13508814	1
10867530	1
1686216	1
1813909	1
2858521	1
1958707	1
10526602	1
1338784	1
13983226	1
3138541	1
14027809	1
12474620	1
11012959	1
4145315	1
11339787	1
11686089	1
8864020	1
9704870	1
13527366	1
1112418	1
7773416	-1
5937195	-1
4964667	-1
3983183	-1
2883549	-1
3069325	-1
8692946	-1
6563629	-1
7251941	-1
4268070	-1
3223160	-1
5746633	-1
5103581	-1
741878	-1
5842709	-1
10924240	-1
3481997	-1
10398990	-1
6780799	-1
13566251	-1
6553481	-1
332604	-1
10187546	-1
6490716	-1
7238993	-1
14756904	-1
5676827	-1
11877803	-1
14104515	-1
2718027	-1
15017283	-1
5432197	-1
9976426	-1
10640465	-1
4444719	-1
2485861	-1
12968946	-1
1842445	-1
14664449	-1
10336395	-1
14511431	-1
11907525	-1
12918722	-1
3898045	-1
12915166	-1
6211981	-1
3680180	-1
6757763	-1
572173	-1
1162880	-1
3862833	-1
5165148	-1
12060271	-1
9626241	-1
2304513	-1
9609544	-1
6315233	-1
310981	-1
318549	-1
3755488	-1
3748523	-1
10180236	-1
10608466	-1
6731267	-1
6728296	-1
4129565	-1
6574004	-1
5162602	-1
5807709	-1
9618196	-1
6253701	-1
4372255	-1
3144411	-1
7457152	-1
1701361	-1
11912005	-1
2318291	-1
3694296	-1
3449326	-1
6356614	-1
10373373	-1
7214745	-1
11433671	-1
11429014	-1
8291299	-1
14701122	-1
5176829	-1
3818074	-1
6447304	-1
2097346	-1
9660174	-1
10026188	-1
7088030	-1
2929777	-1
10432856	-1
9420912	-1
12669380	-1
5105110	-1
8727218	-1
10566350	-1
12967216	-1
3908747	-1
14719167	-1
8695205	-1
7015908	-1
12922004	-1
5886613	-1
2071352	-1
5158511	-1
8771178	-1
379071	-1
7585329	-1
12528304	-1
7091307	-1
12486944	-1
3789309	-1
5662143	-1
8591215	-1
9616516	-1
3539553	-1
2069086	-1
3788036	-1
1156579	-1
5484779	-1
4585115	-1
10436254	-1
13652949	-1
4175319	-1
10730712	-1
4583913	-1
14759930	-1
5741868	-1
11177848	-1
6407526	-1
14048094	-1
1340678	-1
12995803	-1
13339397	-1
2727014	-1
1030633	-1
5171275	-1
3467132	-1
1016405	-1
13438058	-1
14322237	-1
9486645	-1
9980063	-1
10159982	-1
9063278	-1
13724577	-1
7727257	-1
9785781	-1
12964674	-1
14101322	-1
8759206	-1
12741588	-1
11911320	-1
13581698	-1
5607826	-1
13629227	-1
14381360	-1
12508299	-1
12728137	-1
5609341	-1
13548074	-1
7159714	-1
4247753	-1
7057192	-1
9960427	-1
6730057	-1
13387819	-1
7229429	-1
9327857	-1
12202232	-1
12213106	-1
10177181	-1
10193242	-1
8728764	-1
8733413	-1
14158508	-1
9221818	-1
12962038	-1
12970239	-1
12449977	-1
8024880	-1
8491291	-1
7784312	-1
7567827	-1
8429926	-1
12942280	-1
12946932	-1
12951134	-1
10046442	-1
7300061	-1
7300999	-1
7313625	-1
7307117	-1
9280923	-1
7021972	-1
9390833	-1
8095740	-1
7279666	-1
7282964	-1
7090740	-1
7095486	-1
13155224	-1
10418234	-1
10551972	-1
10553116	-1
10569413	-1
9159121	-1
7641885	-1
9312631	-1
7702429	-1
7725019	-1
10579413	-1
7634492	-1
9479101	-1
7837063	-1
15053010	-1
14839856	-1
11501618	-1
12591116	-1
15034515	-1
15005603	-1
15031141	-1
8664976	-1
8605263	-1
10381082	-1
14075837	-1
7317646	-1
7345886	-1
8315903	-1
9928993	-1
8026601	-1
8040799	-1
8055459	-1
14742765	-1
9585417	-1
9615192	-1
8676666	-1
8690929	-1
9863584	-1
7134738	-1
14794288	-1
12497460	-1
12513516	-1
12181054	-1
8598658	-1
8592092	-1
8596333	-1
8601355	-1
8593027	-1
11917806	-1
11930765	-1
7246904	-1
11909366	-1
11910328	-1
7862529	-1
7872092	-1
8571556	-1
8214376	-1
13302759	-1
9620227	-1
9077565	-1
12718296	-1
10598673	-1
7942719	-1
7685066	-1
12730026	-1
13835327	-1
13340327	-1
13828102	-1
13603906	-1
12853076	-1
12903159	-1
12904470	-1
13435489	-1
11891576	-1
11893931	-1
11901660	-1
13489587	-1
13455356	-1
11163788	-1
14815656	-1
14113636	-1
13576148	-1
13598609	-1
10944210	-1
14358562	-1
14465380	-1
14469500	-1
14476759	-1
14657355	-1
10472196	-1
10331979	-1
8255348	-1
8270304	-1
9141971	-1
14953490	-1
11449856	-1
11460966	-1
11469462	-1
14151841	-1
14150628	-1
10736697	-1
10728898	-1
5935370	-1
5271265	-1
5803956	-1
10628743	-1
4210979	-1
5096598	-1
3794556	-1
5200259	-1
10687363	-1
10675168	-1
10676922	-1
10683270	-1
10682472	-1
5874416	-1
6788032	-1
6789039	-1
4267199	-1
4634103	-1
4635743	-1
6916766	-1
6923069	-1
3877063	-1
6499982	-1
6497436	-1
6494290	-1
4579964	-1
6625066	-1
6620665	-1
4132362	-1
4135239	-1
6800386	-1
2418461	-1
2420834	-1
2432590	-1
6317697	-1
5421310	-1
2700420	-1
5866562	-1
5862644	-1
6422061	-1
1442048	-1
2642724	-1
5318220	-1
10936815	-1
10933810	-1
5349646	-1
5646369	-1
5649756	-1
5653828	-1
5655950	-1
5669945	-1
182068	-1
171223	-1
6562699	-1
6548676	-1
6552834	-1
5505391	-1
