start	direction_in_starv
7235828	1
6274216	1
257819	1
7811240	1
7217943	1
303881	1
10707201	1
14089851	1
14299556	1
8222386	1
14033216	1
7206990	1
162374	1
319789	1
13235306	1
8754070	1
2819435	1
10310400	1
5312046	1
3192349	1
3250975	1
2659664	1
10695013	1
9706481	1
13616682	1
15179906	1
12866446	1
9613463	1
13153464	1
5750188	1
11688943	1
9434021	1
10009608	1
9197512	1
6346960	1
6292452	1
595202	1
7339229	1
2976639	1
2794016	1
7690711	1
9689664	1
11027972	1
5022757	1
7995580	1
5236257	1
10222877	1
5083848	1
1136785	1
4038884	1
7893222	1
6083473	1
10975539	1
362484	1
11156589	1
8651109	1
11965523	1
12172573	1
6702213	1
6324484	1
745418	1
12885272	1
126779	1
9380096	1
499942	1
3048678	1
669463	1
7460026	1
3757799	1
1601811	1
4186664	1
10466852	1
6718586	1
8154096	1
11483215	1
11435210	1
11323047	1
11345943	1
13771575	1
9271265	1
9931849	1
11418299	1
10353584	1
9091109	1
9873264	1
9859780	1
10579955	1
10595266	1
10056988	1
8325386	1
8329762	1
13655837	1
11375608	1
8707155	1
8108937	1
11683479	1
8641381	1
10660225	1
8008634	1
8012816	1
7976608	1
14919705	1
13436923	1
9589865	1
14010706	1
14013819	1
11612300	1
8294829	1
12471805	1
13216092	1
13239267	1
10139590	1
13151459	1
13139344	1
12880804	1
12893062	1
12895638	1
12901325	1
9555503	1
9559497	1
9039824	1
11171743	1
11139404	1
11132852	1
9341397	1
13073480	1
11812294	1
11799037	1
8994636	1
13501875	1
8820153	1
8839325	1
8388051	1
8391051	1
10026587	1
8566611	1
11571805	1
13507819	1
8278678	1
8078435	1
14114213	1
10315552	1
10643703	1
10652353	1
10647516	1
9418365	1
9436624	1
14350713	1
13763418	1
10810990	1
10787312	1
9440441	1
9448265	1
9464468	1
9466902	1
9969620	1
10542421	1
11203221	1
8860004	1
7866256	1
10391154	1
9805600	1
9788797	1
9779181	1
9775112	1
8845598	1
9486377	1
9165929	1
11306399	1
11313296	1
11319223	1
9236583	1
9249048	1
11698317	1
11706009	1
11470003	1
9163367	1
9139650	1
12025887	1
12042910	1
12575691	1
12604386	1
12952490	1
12997986	1
12811009	1
12776679	1
14172833	1
13309290	1
13340645	1
13590641	1
13588776	1
9395493	1
13855785	1
9739226	1
9750412	1
14953852	1
15019223	1
15052083	1
15058656	1
14455632	1
12256852	1
12358692	1
12415527	1
12430692	1
11654208	1
13792229	1
10488730	1
7912090	1
7936592	1
7941148	1
7945496	1
10448266	1
10468202	1
9837009	1
9835221	1
10278662	1
9649491	1
9657882	1
9671608	1
9684088	1
9377110	1
7753987	1
2307041	1
288939	1
286625	1
283887	1
3032780	1
4276202	1
380235	1
1616829	1
1619814	1
1772085	1
1807242	1
4229545	1
1871542	1
3453708	1
5561737	1
3230817	1
5599908	1
5606542	1
5699071	1
5681003	1
5666756	1
5696498	1
5669771	1
7155581	1
6290582	1
6203182	1
954926	1
946485	1
2176741	1
2165440	1
2167691	1
2174581	1
5203322	1
2154008	1
2150552	1
1996537	1
6898729	1
6872827	1
6888553	1
1900234	1
1851244	1
1843145	1
1840975	1
1849361	1
5250920	1
5270136	1
6598344	1
6540195	1
7200549	1
7189420	1
7210751	1
7211625	1
5412722	1
5424141	1
2767250	1
5110012	1
5116033	1
5342666	1
5754468	1
7106412	1
4693414	1
4687241	1
4713673	1
4727328	1
6288412	1
3329786	1
3420663	1
6559722	1
6947855	1
35202	1
7245876	1
5049915	1
2690472	1
7580144	1
4608372	1
4627811	1
1763372	1
3296883	1
3295405	1
6186719	1
4742137	1
6748620	1
2422205	1
2335897	1
1728506	1
1004616	1
1010444	1
1016262	1
3919720	1
2488686	1
3816526	1
3812282	1
5867252	1
5864193	1
6132895	1
307454	1
301273	1
321442	1
1059662	1
5782520	1
1574540	1
6450889	1
6456512	1
4004914	1
4028576	1
658669	1
637318	1
2272062	1
2276742	1
2290917	1
2280870	1
2287030	1
114428	1
123270	1
1028972	1
4177246	1
4914494	1
6509500	1
7494455	1
6029491	1
2116884	1
7627250	1
7093389	1
7075614	1
7084321	1
685111	1
4679659	1
4681715	1
4490351	1
1577378	1
1599461	1
1836504	1
1832338	1
1830632	1
1820479	1
1833627	1
3129162	1
2099926	1
6661335	1
6637075	1
1169535	1
3753898	1
6247311	1
6234491	1
3559652	1
3560808	1
3561749	1
3562700	1
3795623	1
1989310	1
15196733	1
3479191	1
3493907	1
1510287	1
1420322	1
4305262	1
1300064	1
2208112	1
2868001	1
2867074	1
2865971	1
1656280	1
3221126	1
3224770	1
3225482	1
5278090	1
2323376	1
2320334	1
2318189	1
7535006	1
12490203	1
6516576	1
10155406	1
2625092	1
2163341	1
5177299	1
264353	1
1540928	1
9469013	1
4560336	1
3332339	1
3219687	1
10317307	1
11175909	1
3267665	1
10487038	1
378651	1
3335691	1
11802751	1
2289114	1
1937063	1
10809293	1
5587614	1
4662013	1
2274788	1
5866139	1
873212	-1
1306240	-1
14606472	-1
6970745	-1
8762622	-1
8185443	-1
8927741	-1
8283667	-1
14843229	-1
10785452	-1
196985	-1
4866436	-1
8600449	-1
337782	-1
10592752	-1
13596955	-1
130983	-1
8715131	-1
4562950	-1
10581133	-1
5453847	-1
14498026	-1
11778430	-1
4852056	-1
11545701	-1
9107382	-1
6714292	-1
6710149	-1
5078233	-1
9324874	-1
10821031	-1
14795404	-1
9331643	-1
8442767	-1
14959526	-1
8159865	-1
8464848	-1
5500770	-1
10690452	-1
9502757	-1
13628059	-1
15163817	-1
15164890	-1
7353576	-1
8326852	-1
13820210	-1
13825532	-1
5737785	-1
4673085	-1
11916513	-1
6587577	-1
8559375	-1
8217222	-1
5997557	-1
6000436	-1
7073814	-1
9431383	-1
7070183	-1
11724204	-1
14063450	-1
10778387	-1
10033266	-1
11022370	-1
13311413	-1
12001509	-1
10824246	-1
4324361	-1
14552504	-1
5399538	-1
4916179	-1
9746316	-1
11865431	-1
11596767	-1
10796653	-1
7604196	-1
10098782	-1
4954480	-1
6251411	-1
10137658	-1
6965800	-1
13448835	-1
13108019	-1
10496987	-1
10539438	-1
484866	-1
2845412	-1
5918647	-1
5242442	-1
10889279	-1
12965546	-1
8198803	-1
8322612	-1
8733050	-1
7544108	-1
8569927	-1
9056497	-1
7105563	-1
11096542	-1
14155294	-1
4696418	-1
11237447	-1
4043055	-1
11653124	-1
42207	-1
11453362	-1
11451441	-1
5387411	-1
6490165	-1
8034335	-1
4698721	-1
6488830	-1
6972706	-1
11336693	-1
23325	-1
3177963	-1
8563709	-1
8603846	-1
14752891	-1
13632584	-1
9591292	-1
9285975	-1
9323960	-1
10918706	-1
11691325	-1
4706821	-1
8038271	-1
4955450	-1
14647321	-1
4702069	-1
14485624	-1
1321037	-1
9713737	-1
6554977	-1
7530996	-1
7533262	-1
14155768	-1
5649748	-1
4417633	-1
6536374	-1
11497665	-1
11350192	-1
14534300	-1
9934398	-1
9940753	-1
9938108	-1
10560036	-1
10339727	-1
8039802	-1
9886544	-1
9882730	-1
14705515	-1
10702510	-1
11106612	-1
11095044	-1
10584336	-1
10599337	-1
10582618	-1
8964242	-1
8971965	-1
8696591	-1
8699012	-1
14633123	-1
14627630	-1
8138496	-1
11288722	-1
9329774	-1
9338997	-1
8661869	-1
9588184	-1
9596701	-1
9597622	-1
10416800	-1
13996958	-1
13999059	-1
14006510	-1
11592392	-1
8804835	-1
8790557	-1
13833095	-1
8144762	-1
8158349	-1
