start	direction_in_starv
7973717	1
5077764	1
7454074	1
13133906	1
12020552	1
9766509	1
5595771	1
8067289	1
4489359	1
5635479	1
7979959	1
1807740	1
5240591	1
13019008	1
11657767	1
7023642	1
2994514	1
5625135	1
6746308	1
8038241	1
10763131	1
842930	1
2549920	1
12910510	1
13663400	1
8111168	1
676122	1
9619711	1
4029095	1
4476918	1
6592525	1
7573350	1
3789979	1
9038779	1
4965571	1
8258345	1
6159453	1
9147395	1
7112295	1
3933583	1
7145842	1
7243280	1
4804688	1
5664233	1
919526	1
365949	1
5509170	1
6990168	1
1821149	1
10189212	1
9593120	1
11428367	1
8749680	1
5816232	1
10355098	1
12755348	1
9303859	1
4276196	1
13463163	1
11633216	1
8535131	1
991881	1
8634067	1
2793323	1
1062794	1
9546258	1
8193843	1
6853101	1
12333745	1
5828557	1
4350099	1
4751878	1
9686922	1
3864489	1
10364956	1
9330316	1
9319941	1
3553649	1
1219	1
9075726	1
4618801	1
4623029	1
4628465	1
4635247	1
4731938	1
4566275	1
3956624	1
9913993	1
3377396	1
13049416	1
9155066	1
13265866	1
8996898	1
9023944	1
9281780	1
9300219	1
10759307	1
9932398	1
9929077	1
9923174	1
9361528	1
10796718	1
9851854	1
9843768	1
9257261	1
9260175	1
3503710	1
3510924	1
3521133	1
10393350	1
10034181	1
4397415	1
4415520	1
9785944	1
13378442	1
4689280	1
4706978	1
13627056	1
13625972	1
10081443	1
10109295	1
10212396	1
10199352	1
10538081	1
4650494	1
3801901	1
9425466	1
13457687	1
4749794	1
10711530	1
12820193	1
12915118	1
10595258	1
10605349	1
13070756	1
11650452	1
11257300	1
10992044	1
11025239	1
11027242	1
12398901	1
12430509	1
12453588	1
11917836	1
11974128	1
11580694	1
11548370	1
11534674	1
10239104	1
12186411	1
12354898	1
13546889	1
12499557	1
12538664	1
12595994	1
12699494	1
1271993	1
1267299	1
1265623	1
9824877	1
9826431	1
8890231	1
8930023	1
8944657	1
8952886	1
10124183	1
7102092	1
7128901	1
7268416	1
7283911	1
7298348	1
8245891	1
8227830	1
5607509	1
5597979	1
6410020	1
6553627	1
6620252	1
6381634	1
6379212	1
6213070	1
6215164	1
725119	1
