start	direction_in_starv
3862033	1
15270160	1
325435	1
762413	1
16601480	1
6307739	1
9136933	1
10142455	1
1848071	1
10478442	1
8799081	1
13328359	1
13323873	1
9803023	1
9799429	1
11913692	1
5584684	1
9144705	1
12754558	1
7868907	1
17190204	1
10661857	1
10682524	1
10043181	1
7928152	1
12860097	1
3282885	1
16167781	1
10130257	1
7503622	1
17475315	1
10140330	1
10139380	1
11248884	1
17376427	1
6646312	1
429209	1
606355	1
7675174	1
3606784	1
11425742	1
10934196	1
6742537	1
11621429	1
11624252	1
9625909	1
17486842	1
10716648	1
13513369	1
9879329	1
15400277	1
7710983	1
8022655	1
11899590	1
5747363	1
8226331	1
11169748	1
1624029	1
1613892	1
9725251	1
11930872	1
13505270	1
12170824	1
10790653	1
9155148	1
12793847	1
7470860	1
8712408	1
4072327	1
6506724	1
5470026	1
2618869	1
10389578	1
8481664	1
8477180	1
13575033	1
15891654	1
6261058	1
14014024	1
4954187	1
4861773	1
8460999	1
15361544	1
11394543	1
7206269	1
91980	1
4103020	1
2704741	1
1963634	1
11972697	1
12773867	1
5975557	1
9200103	1
3855843	1
885344	1
17480298	1
12156838	1
13860367	1
13108140	1
13111498	1
11246451	1
13619503	1
13633407	1
13607435	1
8862131	1
9343359	1
9374829	1
9378552	1
9381436	1
9385126	1
11470436	1
12443236	1
12653401	1
8907043	1
8915472	1
11226502	1
11222012	1
12940106	1
9510100	1
9516999	1
8773989	1
13064014	1
13072661	1
9995385	1
13193563	1
17320795	1
8968290	1
8956489	1
10464588	1
10469741	1
10450733	1
11147265	1
10239278	1
12789235	1
13165481	1
13149576	1
17473334	1
17464448	1
17474243	1
10414036	1
11004573	1
8767885	1
8771560	1
9594604	1
12203249	1
1249192	1
10009753	1
10017277	1
9307338	1
9308831	1
13057710	1
13059584	1
13543405	1
12524381	1
12526231	1
11261835	1
11287811	1
14429572	1
12965374	1
10642716	1
9401922	1
11636648	1
14145894	1
11715039	1
11735325	1
9707147	1
10183842	1
12892494	1
13431240	1
12978986	1
12982119	1
12845899	1
11822206	1
15103629	1
15123182	1
14182377	1
14177271	1
14173606	1
14172481	1
11187029	1
10319339	1
10621744	1
10689517	1
17408230	1
12475155	1
12482847	1
10056591	1
10039758	1
11104738	1
10541428	1
8855296	1
11779216	1
11749220	1
12034282	1
12038980	1
9778321	1
9337040	1
13688231	1
10761698	1
10766481	1
17305115	1
17308511	1
11063530	1
16197017	1
16432229	1
13905991	1
13897809	1
15210123	1
15219545	1
14981611	1
15049380	1
15074692	1
10269883	1
10274036	1
16743830	1
13509224	1
13796211	1
16522529	1
16575094	1
16664320	1
16736329	1
14761803	1
14658308	1
14862447	1
13365169	1
13408325	1
14276460	1
14291901	1
14374114	1
9039527	1
15302451	1
15533167	1
15612605	1
15689201	1
15820059	1
15849875	1
15899934	1
15956571	1
16826306	1
16831666	1
17073873	1
9088594	1
10913381	1
10937454	1
11918032	1
11926025	1
11940407	1
11959905	1
12880607	1
12876950	1
10799654	1
8159387	1
8161953	1
8167164	1
6963716	1
7449066	1
3373387	1
3378485	1
3382949	1
6628285	1
6640180	1
6624528	1
3419813	1
7826323	1
7837264	1
7276961	1
7024211	1
7017624	1
7658763	1
5037789	1
8520894	1
3498209	1
6185889	1
6151813	1
6812108	1
615544	1
8016994	1
5811582	1
7785999	1
7812908	1
7134345	1
5612117	1
2464456	1
6018003	1
6228190	1
6225443	1
6222089	1
6210936	1
6206821	1
8645521	1
1170708	1
7743839	1
7726719	1
7745971	1
17197895	1
7240445	1
8366521	1
4979771	1
4294895	1
4278825	1
325059	1
4599954	1
4610575	1
5290847	1
5364559	1
5356543	1
7288055	1
7314371	1
7320734	1
1924001	1
7473517	1
7493743	1
7498053	1
548300	1
778784	1
3919806	1
7967306	1
6231023	1
940017	1
924882	1
5891565	1
5899597	1
6040976	1
8702884	1
5725600	1
292423	1
8268324	1
3784210	1
4487028	1
4468500	1
4480116	1
455784	1
7517445	1
4152456	1
4772092	1
7218049	1
2222828	1
6887948	1
393880	1
8222202	1
7375147	1
274420	1
4692763	1
1229080	1
5439005	1
5339574	1
5332478	1
5326444	1
5344592	1
4963958	1
4930345	1
4394410	1
3709500	1
162830	1
26982	1
15499	1
24683	1
7327771	1
7349277	1
1637954	1
8102531	1
3960734	1
3965246	1
2850886	1
2835664	1
2799689	1
2765715	1
2839371	1
2986050	1
2803952	1
2842462	1
2960098	1
858930	1
8585983	1
8598502	1
428070	1
359223	1
3222440	1
3186011	1
3173540	1
