start	direction_in_starv
2608652	1
5976024	1
10248905	1
20898840	1
19049562	1
8272385	1
8267511	1
13498780	1
10564880	1
13557104	1
12144244	1
12060234	1
6831177	1
10293563	1
16592572	1
11975551	1
16532936	1
6614674	1
13381189	1
6758135	1
2763981	1
6026329	1
11602294	1
12731767	1
10169177	1
20818	1
12453290	1
9899578	1
6573939	1
10308291	1
724332	1
1427653	1
6392537	1
16219634	1
12638666	1
12645477	1
12752603	1
3551346	1
16231032	1
7398396	1
20780407	1
14949777	1
14090426	1
9547105	1
2881393	1
7805064	1
14033949	1
20375536	1
12487234	1
15244756	1
13879552	1
12968855	1
10282100	1
6956537	1
6691371	1
4836027	1
10918857	1
20105633	1
2227203	1
15674007	1
2276013	1
18616587	1
610512	1
7684052	1
19076604	1
2233477	1
474778	1
2225430	1
489620	1
1622264	1
16912234	1
1619415	1
2229081	1
2222064	1
2210510	1
2231223	1
12107141	1
4236418	1
3987900	1
13828267	1
14411649	1
14729643	1
11924621	1
17755892	1
12014383	1
15192572	1
1276415	1
11566801	1
9174089	1
12063476	1
20278654	1
603610	1
14829177	1
11727900	1
8805399	1
6633225	1
19924224	1
17347902	1
13425548	1
4865664	1
2738721	1
728301	1
1685628	1
4924918	1
4926671	1
4922324	1
4921102	1
444893	1
447531	1
16246879	1
3595148	1
3592738	1
2865199	1
17805623	1
3549853	1
15215475	1
7369708	1
2571527	1
736803	1
734420	1
16075659	1
6284833	1
9834463	1
9832646	1
13418951	1
3032639	1
19381268	1
19400077	1
9003672	1
682331	1
15397385	1
13854878	1
13857432	1
15758749	1
13327763	1
10231821	1
751326	1
9144619	1
8792760	1
4726721	1
11709769	1
12265707	1
13796641	1
15704960	1
982706	1
19995986	1
20879601	1
10372321	1
10398801	1
10297399	1
20480803	1
9658862	1
13138981	1
15600307	1
13908130	1
15476060	1
15498734	1
11142951	1
17895314	1
17899803	1
17910319	1
10109833	1
10107609	1
18371846	1
10239590	1
12104220	1
12109046	1
12121574	1
12118694	1
18158026	1
12596387	1
12734198	1
14415499	1
17521035	1
15050887	1
19407712	1
19403530	1
13305138	1
13301833	1
12131457	1
16300576	1
13083055	1
13090405	1
10509137	1
17559246	1
17549675	1
12835688	1
12846091	1
14680314	1
13565863	1
13566931	1
9526793	1
9531801	1
9517519	1
9523167	1
9529951	1
9889837	1
12418592	1
12441663	1
12445164	1
12448682	1
18819766	1
18811005	1
15648035	1
11512309	1
13529545	1
14098858	1
14096944	1
14088891	1
12566016	1
14476903	1
14479279	1
16149105	1
16214890	1
16226079	1
16217675	1
14306468	1
16074117	1
15019057	1
10403181	1
18189481	1
18222692	1
10948230	1
10951860	1
10958931	1
15543106	1
16227121	1
16233924	1
16230165	1
10453857	1
12361301	1
12365348	1
9556027	1
20559162	1
20580990	1
15567394	1
15571476	1
16278116	1
10747901	1
20847702	1
17322590	1
10888187	1
13359335	1
13360554	1
11613307	1
11601171	1
11625900	1
15919434	1
15923279	1
15981685	1
11527831	1
9786993	1
9791567	1
9774897	1
11669338	1
14315859	1
14321367	1
14331733	1
17353323	1
17331640	1
17342791	1
17345214	1
16862012	1
17023241	1
10970345	1
13416096	1
13584784	1
13611337	1
13627573	1
20387715	1
10852518	1
15814232	1
12919986	1
14375996	1
12637663	1
13193928	1
16482420	1
16342308	1
14057840	1
13992656	1
13672589	1
11963007	1
17656890	1
17666075	1
14899804	1
11118766	1
13629701	1
14247477	1
14253488	1
9484206	1
9497042	1
15685716	1
15693994	1
10339500	1
15137029	1
15140547	1
10004755	1
17298282	1
11880032	1
11888248	1
15241559	1
15260890	1
19437899	1
13386058	1
19784129	1
14480383	1
10087480	1
9837979	1
12065959	1
12092006	1
14714207	1
18242323	1
18259260	1
12711293	1
13511905	1
11833619	1
11917573	1
12903550	1
12906128	1
14993838	1
13704271	1
13716824	1
14163255	1
14157663	1
11362445	1
