start	direction_in_starv
12794118	1
4854065	1
751203	1
5289724	1
9082946	1
4571437	1
11321079	1
13218985	1
12199655	1
13542574	1
7847678	1
4094867	1
6607207	1
14684877	1
3360722	1
11016400	1
13934874	1
3816847	1
10091946	1
8528250	1
3012182	1
9349276	1
17046241	1
12795201	1
6075509	1
9870632	1
9243557	1
15681693	1
6226126	1
10402522	1
4554685	1
16729559	1
9717565	1
7981382	1
4249249	1
6233151	1
642156	1
8820703	1
5368468	1
3171420	1
5984989	1
8243131	1
7690498	1
3259142	1
17600487	1
6281847	1
3869404	1
11857478	1
17455792	1
15929955	1
14938502	1
4472244	1
8473722	1
4532691	1
2594003	1
4656433	1
15708213	1
6914289	1
10576953	1
3727574	1
2343947	1
8593181	1
8917423	1
10958727	1
6122311	1
4767152	1
9539905	1
6864315	1
10954134	1
1321344	1
10854216	1
10871201	1
10865347	1
7159036	1
12738754	1
9364818	1
10794857	1
12907832	1
5196110	1
13338028	1
14611374	1
5720381	1
3542542	1
3646318	1
12503887	1
13224241	1
11394605	1
10769282	1
7315995	1
7319937	1
7725979	1
4252347	1
2823501	1
3674041	1
3729281	1
4948049	1
9150694	1
17467121	1
1246017	1
6994769	1
3050369	1
8869625	1
2710920	1
14773538	1
7272317	1
5087841	1
10992477	1
10982351	1
228080	1
12042546	1
13664583	1
12945534	1
10167305	1
10172198	1
9522488	1
9529660	1
11053915	1
15977484	1
9587942	1
12536978	1
9922862	1
12219660	1
12222117	1
14849275	1
16076785	1
16094670	1
13986607	1
15365992	1
14071162	1
11533593	1
11536568	1
10460473	1
11970077	1
11980206	1
11994784	1
13371542	1
13018393	1
14527170	1
12256644	1
14257961	1
11407054	1
13135107	1
13141601	1
10160627	1
10691943	1
14924974	1
14111263	1
13113772	1
10005304	1
10015037	1
13834427	1
12360827	1
14979688	1
16220010	1
16228922	1
15910628	1
9633284	1
11368717	1
12350578	1
12358614	1
12360744	1
10893567	1
13182114	1
9566729	1
15866387	1
13760237	1
11004984	1
15834072	1
10537106	1
15225869	1
13066974	1
13063535	1
14345275	1
14214973	1
10966551	1
13714157	1
13717536	1
13719143	1
14503375	1
10339217	1
16189856	1
16314922	1
12128144	1
10792898	1
192834	1
9759297	1
15193086	1
9664493	1
12449892	1
10880809	1
11491087	1
10031150	1
10084622	1
15799432	1
15330964	1
14761924	1
11875541	1
11901034	1
14901881	1
16123942	1
13798210	1
2243231	1
9296947	1
9146148	1
3668086	1
6370017	1
5386858	1
5397699	1
334567	1
1122421	1
4562163	1
2668127	1
6020856	1
16745240	1
8893108	1
2803112	1
7954354	1
6240983	1
6470433	1
17601611	1
8185164	1
8069328	1
3623462	1
3613353	1
9397701	1
4320863	1
5064602	1
5332355	1
8836016	1
8829448	1
17043968	1
17056924	1
17300840	1
8014983	1
9213923	1
7889215	1
5413810	1
5109506	1
2395283	1
7596927	1
4632361	1
4622324	1
4279703	1
4265663	1
1272788	1
6844755	1
17336637	1
7139875	1
5545587	1
6645654	1
7377302	1
8931179	1
8941395	1
4403154	1
7559405	1
8428838	1
17372318	1
17380635	1
17383125	1
17401564	1
3315314	1
602160	1
5804379	1
6924795	1
6929262	1
5595787	1
9235103	1
9262045	1
7627651	1
7672993	1
3805137	1
5375059	1
5365813	1
4834868	1
16902393	1
828903	1
3235754	1
6881868	1
8378557	1
16665093	1
7976700	1
7230705	1
7238666	1
9062823	1
2163384	1
4246554	1
7507877	1
5897338	1
1949161	1
8709764	1
8697817	1
8713544	1
8716665	1
8718641	1
2621272	1
4722875	1
8348534	1
549355	1
2584242	1
5904653	1
1621057	1
17622710	1
6784411	1
7292132	1
7296010	1
1084217	1
1547505	1
1536366	1
8080868	1
16558434	1
16551167	1
3289483	1
8681900	1
8673060	1
6444185	1
308762	1
3033325	1
6806763	1
8232251	1
4012219	1
6729998	1
6747296	1
7798949	1
8812105	1
5959115	1
4822647	1
4805998	1
301830	1
17483008	1
7029136	1
2314894	1
8495305	1
16796087	1
16791347	1
2694923	1
2429859	1
7334714	1
6311691	1
2294750	1
6553287	1
669684	1
16860396	1
16878077	1
5647373	1
2360126	1
2365666	1
16505648	1
5838039	1
5919397	1
5257299	1
2976448	1
2957935	1
1940632	1
2933361	1
148124	1
2051824	1
2019148	1
5005240	1
4976830	1
3840869	1
3348730	1
406457	1
12356194	1
6559466	1
7903276	1
4330076	1
11824004	1
11313385	1
11121871	1
4866098	1
5631926	1
6601558	1
2263166	1
13139793	1
117380	1
7398884	1
2381582	1
14423871	1
553171	1
9536661	1
7395939	1
8847122	1
5998240	1
17378321	1
313274	1
2996306	1
5092481	-1
11339874	-1
4458272	-1
4702167	-1
8208748	-1
12846439	-1
15175032	-1
6323488	-1
6326388	-1
6329160	-1
6331709	-1
6875169	-1
17402532	-1
8911293	-1
14888488	-1
1486532	-1
3412876	-1
8050466	-1
7194564	-1
2144605	-1
8450381	-1
7536467	-1
5148804	-1
15510011	-1
12877480	-1
7823654	-1
489685	-1
8283275	-1
7485864	-1
11109440	-1
8500021	-1
7116202	-1
8159169	-1
14490094	-1
6089028	-1
6034463	-1
4696754	-1
813854	-1
381385	-1
768596	-1
3257372	-1
14577935	-1
5525123	-1
3114668	-1
15944009	-1
563711	-1
16262289	-1
777721	-1
9944844	-1
16017121	-1
6456872	-1
17420211	-1
4524155	-1
5353103	-1
1079430	-1
11352156	-1
12744723	-1
450446	-1
6060758	-1
17222475	-1
6853618	-1
4715178	-1
5778875	-1
1128986	-1
7318239	-1
8417419	-1
7301389	-1
14581622	-1
15506037	-1
9455485	-1
4866681	-1
16306464	-1
8087553	-1
4191094	-1
3092395	-1
15752257	-1
3480250	-1
17151522	-1
9428431	-1
11160837	-1
15004058	-1
13409936	-1
13416078	-1
13418840	-1
14001924	-1
12932205	-1
11192485	-1
11965962	-1
13386057	-1
14514130	-1
13406674	-1
11298036	-1
13130249	-1
15101786	-1
16159648	-1
12987332	-1
12985790	-1
12991470	-1
10695312	-1
10520817	-1
9706384	-1
14968900	-1
14976117	-1
12762078	-1
16212606	-1
14448210	-1
15420971	-1
14701790	-1
10302741	-1
10304529	-1
10306595	-1
14791008	-1
10197706	-1
15259579	-1
10897678	-1
10903272	-1
15885604	-1
15879085	-1
13605567	-1
13582120	-1
11008268	-1
10559503	-1
15488106	-1
12266953	-1
15080779	-1
13706907	-1
15601067	-1
15613797	-1
13852906	-1
13861277	-1
12146832	-1
13565486	-1
15441731	-1
9858365	-1
9872795	-1
10317722	-1
11118959	-1
15173904	-1
12861237	-1
12454745	-1
12782394	-1
11059994	-1
11062123	-1
11065126	-1
11057401	-1
10054275	-1
10034607	-1
525928	-1
7066342	-1
2885858	-1
6335279	-1
8857056	-1
16633352	-1
6006969	-1
6018442	-1
6015492	-1
16767419	-1
7956195	-1
6238123	-1
6474264	-1
3151148	-1
6106927	-1
5061056	-1
5445163	-1
5338301	-1
7096745	-1
980776	-1
975525	-1
7143846	-1
5519955	-1
1459022	-1
8726794	-1
6991727	-1
7572357	-1
7568141	-1
4110442	-1
8285683	-1
6533490	-1
6004153	-1
4441738	-1
7667333	-1
531841	-1
845731	-1
6835491	-1
7551197	-1
3772762	-1
9077186	-1
9057652	-1
5890380	-1
2074450	-1
2114618	-1
2872744	-1
2864229	-1
938543	-1
1035548	-1
862267	-1
1568677	-1
8507876	-1
1311391	-1
2483263	-1
3135486	-1
8763907	-1
8732958	-1
8731310	-1
4964413	-1
4969529	-1
8248121	-1
8257998	-1
5953458	-1
297234	-1
2608228	-1
5177519	-1
772476	-1
767023	-1
17205159	-1
17213144	-1
5630023	-1
6385485	-1
5514727	-1
5516708	-1
2196525	-1
9034554	-1
17231648	-1
17215018	-1
5675177	-1
5680330	-1
1450768	-1
5043976	-1
2834205	-1
2030960	-1
4999270	-1
882951	-1
5017891	-1
7779577	-1
4135155	-1
4176065	-1
14318206	-1
12217243	-1
5493332	-1
15757808	-1
16213373	-1
4101687	-1
2945803	-1
11419108	-1
16602473	-1
12989344	-1
14743670	-1
17243353	-1
7665714	-1
14015362	-1
13361201	-1
1654446	-1
