gene_id,total_unsp,total_sp,total
WBGene00000001,15,852,867
WBGene00000002,22,624,646
WBGene00000003,2,389,391
WBGene00000004,139,1565,1704
WBGene00000005,0,8,8
WBGene00000006,276,2974,3250
WBGene00000007,2,35,37
WBGene00000008,19,10,29
WBGene00000009,3,30,33
WBGene00000010,30,407,437
WBGene00000012,27,48,75
WBGene00000013,0,155,155
WBGene00000014,0,10,10
WBGene00000015,1,163,164
WBGene00000016,38,3102,3140
WBGene00000017,4,2813,2817
WBGene00000018,281,1385,1666
WBGene00000019,5,2,7
WBGene00000020,123,472,595
WBGene00000022,7,230,237
WBGene00000023,4,17,21
WBGene00000024,0,2,2
WBGene00000025,0,5,5
WBGene00000027,0,2,2
WBGene00000028,0,0,0
WBGene00000029,0,0,0
WBGene00000030,0,0,0
WBGene00000031,21,16,37
WBGene00000032,0,0,0
WBGene00000033,0,10,10
WBGene00000034,3,8,11
WBGene00000035,600,1150,1750
WBGene00000036,73,339,412
WBGene00000037,37,1537,1574
WBGene00000038,41,130,171
WBGene00000039,19,798,817
WBGene00000040,28,5595,5623
WBGene00000041,435,22030,22465
WBGene00000042,26,157,183
WBGene00000043,24,85,109
WBGene00000044,19,52,71
WBGene00000045,7,16,23
WBGene00000046,93,151,244
WBGene00000047,241,1385,1626
WBGene00000048,11,68,79
WBGene00000049,4,21,25
WBGene00000050,16,55,71
WBGene00000051,29,201,230
WBGene00000053,6,31,37
WBGene00000054,43,508,551
WBGene00000055,17,400,417
WBGene00000056,23,108,131
WBGene00000057,86,143,229
WBGene00000058,105,210,315
WBGene00000059,12,98,110
WBGene00000060,13,52,65
WBGene00000061,12,152,164
WBGene00000062,66,115,181
WBGene00000063,402,191275,191677
WBGene00000064,337,23187,23524
WBGene00000065,366,201390,201756
WBGene00000066,1245,354323,355568
WBGene00000067,94,4790,4884
WBGene00000068,1103,2039,3142
WBGene00000069,15,140,155
WBGene00000070,374,2225,2599
WBGene00000071,21,167,188
WBGene00000072,68,822,890
WBGene00000073,69,481,550
WBGene00000074,104,718,822
WBGene00000075,22,159,181
WBGene00000079,243,5112,5355
WBGene00000080,7,226,233
WBGene00000081,49,612,661
WBGene00000082,44,79,123
WBGene00000083,373,3408,3781
WBGene00000084,27,57,84
WBGene00000085,29,267,296
WBGene00000086,60,617,677
WBGene00000088,70,324,394
WBGene00000089,54,1443,1497
WBGene00000090,83,1078,1161
WBGene00000092,152,2214,2366
WBGene00000093,48,936,984
WBGene00000094,116,1268,1384
WBGene00000095,176,2400,2576
WBGene00000096,256,930,1186
WBGene00000097,106,1953,2059
WBGene00000098,51,1744,1795
WBGene00000099,92,1424,1516
WBGene00000100,416,5788,6204
WBGene00000101,127,2045,2172
WBGene00000102,356,4623,4979
WBGene00000103,110,1687,1797
WBGene00000105,106,2965,3071
WBGene00000106,62,1671,1733
WBGene00000107,912,11916,12828
WBGene00000108,0,0,0
WBGene00000109,10,571,581
WBGene00000110,79,2193,2272
WBGene00000111,98,567,665
WBGene00000112,343,6020,6363
WBGene00000113,210,698,908
WBGene00000114,203,81804,82007
WBGene00000115,23,1669,1692
WBGene00000116,136,871,1007
WBGene00000117,336,625,961
WBGene00000118,18,14163,14181
WBGene00000120,3,3804,3807
WBGene00000121,44,3543,3587
WBGene00000122,68,10969,11037
WBGene00000123,239,6331,6570
WBGene00000133,3,25,28
WBGene00000134,53,157,210
WBGene00000135,10,126,136
WBGene00000136,2,137,139
WBGene00000137,114,557,671
WBGene00000138,49,462,511
WBGene00000139,80,79,159
WBGene00000140,695,60774,61469
WBGene00000142,49,1291,1340
WBGene00000143,138,1073,1211
WBGene00000144,71,760,831
WBGene00000145,7,751,758
WBGene00000146,364,3287,3651
WBGene00000147,5,536,541
WBGene00000148,92,1261,1353
WBGene00000149,256,9621,9877
WBGene00000150,64,977,1041
WBGene00000151,21,1091,1112
WBGene00000155,11,1308,1319
WBGene00000156,71,1154,1225
WBGene00000157,49,2444,2493
WBGene00000158,454,2501,2955
WBGene00000159,23,3455,3478
WBGene00000160,437,2530,2967
WBGene00000161,125,2396,2521
WBGene00000162,398,2275,2673
WBGene00000163,83,2516,2599
WBGene00000164,131,1330,1461
WBGene00000165,29,1290,1319
WBGene00000166,15,229,244
WBGene00000168,479,255,734
WBGene00000169,27,825,852
WBGene00000170,1701,26596,28297
WBGene00000171,4,1,5
WBGene00000172,102,443,545
WBGene00000173,9,136,145
WBGene00000174,7,55,62
WBGene00000175,2356,55330,57686
WBGene00000176,5,1226,1231
WBGene00000177,337,2428,2765
WBGene00000178,188,2242,2430
WBGene00000179,327,2444,2771
WBGene00000180,48,921,969
WBGene00000181,782,7265,8047
WBGene00000182,162,16017,16179
WBGene00000183,211,18926,19137
WBGene00000184,121,1647,1768
WBGene00000185,1,40,41
WBGene00000186,553,5896,6449
WBGene00000187,1,1301,1302
WBGene00000188,0,133,133
WBGene00000189,10,532,542
WBGene00000190,37,145,182
WBGene00000192,14,2505,2519
WBGene00000193,13,65,78
WBGene00000195,71,1272,1343
WBGene00000196,170,2151,2321
WBGene00000197,57,5671,5728
WBGene00000198,137,2435,2572
WBGene00000199,286,4267,4553
WBGene00000200,104,3093,3197
WBGene00000201,960,4874,5834
WBGene00000202,9,509,518
WBGene00000203,24,2884,2908
WBGene00000204,93,3206,3299
WBGene00000205,17,2152,2169
WBGene00000206,120,3023,3143
WBGene00000207,1476,58868,60344
WBGene00000208,387,1033,1420
WBGene00000209,1354,20521,21875
WBGene00000210,4735,59281,64016
WBGene00000211,116,740,856
WBGene00000212,8,80,88
WBGene00000213,10,95,105
WBGene00000214,0,13177,13177
WBGene00000215,61,1332,1393
WBGene00000216,9,5348,5357
WBGene00000217,2052,25763,27815
WBGene00000218,42,4825,4867
WBGene00000219,3,4630,4633
WBGene00000220,49,727,776
WBGene00000221,1644,15476,17120
WBGene00000222,105,1401,1506
WBGene00000223,672,5919,6591
WBGene00000224,347,5455,5802
WBGene00000225,2455,3312,5767
WBGene00000226,160,2044,2204
WBGene00000227,295,1900,2195
WBGene00000228,753,21557,22310
WBGene00000229,3180,155182,158362
WBGene00000230,213,59154,59367
WBGene00000231,269,3074,3343
WBGene00000232,164,1330,1494
WBGene00000233,102,535,637
WBGene00000235,18,11580,11598
WBGene00000236,264,2406,2670
WBGene00000237,69,459,528
WBGene00000238,79,775,854
WBGene00000239,49,485,534
WBGene00000240,459,3806,4265
WBGene00000241,27,89,116
WBGene00000242,18,222,240
WBGene00000244,29,302,331
WBGene00000245,425,11470,11895
WBGene00000246,37,89,126
