gene_id,total_unsp,total_sp,total
WBGene00000001.,21,1098,1119
WBGene00000002.,54,1331,1385
WBGene00000003.,4,748,752
WBGene00000004.,157,1793,1950
WBGene00000005.,7,167,174
WBGene00000006.,343,3704,4047
WBGene00000007.,18,329,347
WBGene00000008.,21,43,64
WBGene00000009.,8,30,38
WBGene00000010.,35,529,564
WBGene00000012.,9,25,34
WBGene00000013.,0,92,92
WBGene00000014.,1,7,8
WBGene00000015.,6,653,659
WBGene00000016.,148,16013,16161
WBGene00000017.,13,11169,11182
WBGene00000018.,402,2382,2784
WBGene00000019.,10,13,23
WBGene00000020.,409,1475,1884
WBGene00000021.,6,3,9
WBGene00000022.,67,1946,2013
WBGene00000023.,12,35,47
WBGene00000024.,0,4,4
WBGene00000025.,0,5,5
WBGene00000026.,0,2,2
WBGene00000027.,0,1,1
WBGene00000028.,0,0,0
WBGene00000029.,0,4,4
WBGene00000030.,0,20,20
WBGene00000031.,3,274,277
WBGene00000032.,0,0,0
WBGene00000033.,2,28,30
WBGene00000034.,2,28,30
WBGene00000035.,1180,978,2158
WBGene00000036.,191,1111,1302
WBGene00000037.,55,2274,2329
WBGene00000038.,87,473,560
WBGene00000039.,23,813,836
WBGene00000040.,75,14624,14699
WBGene00000041.,681,24637,25318
WBGene00000042.,168,477,645
WBGene00000043.,55,242,297
WBGene00000044.,50,142,192
WBGene00000045.,10,49,59
WBGene00000046.,166,412,578
WBGene00000047.,95,835,930
WBGene00000048.,27,136,163
WBGene00000049.,17,110,127
WBGene00000050.,23,404,427
WBGene00000051.,63,578,641
WBGene00000053.,24,67,91
WBGene00000054.,58,498,556
WBGene00000055.,12,366,378
WBGene00000056.,47,282,329
WBGene00000057.,93,187,280
WBGene00000058.,341,571,912
WBGene00000059.,26,240,266
WBGene00000060.,77,176,253
WBGene00000061.,87,1073,1160
WBGene00000062.,77,135,212
WBGene00000063.,22,136196,136218
WBGene00000064.,383,22848,23231
WBGene00000065.,413,149626,150039
WBGene00000066.,1636,323195,324831
WBGene00000067.,1457,67942,69399
WBGene00000068.,2004,2246,4250
WBGene00000069.,42,272,314
WBGene00000070.,381,1880,2261
WBGene00000071.,72,729,801
WBGene00000072.,150,1738,1888
WBGene00000073.,135,1465,1600
WBGene00000074.,325,1508,1833
WBGene00000075.,21,410,431
WBGene00000079.,311,2377,2688
WBGene00000080.,36,1664,1700
WBGene00000081.,304,8065,8369
