gene_id,total_unsp,total_sp,total
WBGene00000001.,21,1099,1120
WBGene00000002.,54,1324,1378
WBGene00000003.,4,739,743
WBGene00000004.,159,1795,1954
WBGene00000005.,7,166,173
WBGene00000006.,344,3694,4038
WBGene00000007.,18,328,346
WBGene00000008.,20,39,59
WBGene00000009.,8,22,30
WBGene00000010.,35,529,564
WBGene00000012.,9,25,34
WBGene00000013.,0,92,92
WBGene00000014.,1,7,8
WBGene00000015.,6,652,658
WBGene00000016.,148,16020,16168
WBGene00000017.,13,11173,11186
WBGene00000018.,406,2383,2789
WBGene00000019.,12,13,25
WBGene00000020.,418,1473,1891
WBGene00000021.,6,2,8
WBGene00000022.,67,1940,2007
WBGene00000023.,12,30,42
WBGene00000024.,0,4,4
WBGene00000025.,0,1,1
WBGene00000026.,0,1,1
WBGene00000027.,0,1,1
WBGene00000028.,0,0,0
WBGene00000029.,0,4,4
WBGene00000030.,0,20,20
WBGene00000031.,3,273,276
WBGene00000032.,0,0,0
WBGene00000033.,2,28,30
WBGene00000034.,2,28,30
WBGene00000035.,1182,943,2125
WBGene00000036.,191,1098,1289
WBGene00000037.,58,2271,2329
WBGene00000038.,91,470,561
WBGene00000039.,23,813,836
WBGene00000040.,75,14592,14667
WBGene00000041.,682,24639,25321
WBGene00000042.,168,469,637
WBGene00000043.,55,233,288
WBGene00000044.,50,142,192
WBGene00000045.,10,42,52
WBGene00000046.,166,412,578
WBGene00000047.,95,835,930
WBGene00000048.,27,136,163
WBGene00000049.,17,102,119
WBGene00000050.,23,400,423
WBGene00000051.,63,575,638
WBGene00000053.,24,65,89
WBGene00000054.,58,492,550
WBGene00000055.,12,366,378
WBGene00000056.,48,282,330
WBGene00000057.,93,180,273
WBGene00000058.,341,571,912
WBGene00000059.,26,240,266
WBGene00000060.,77,172,249
WBGene00000061.,87,1071,1158
WBGene00000062.,87,135,222
WBGene00000063.,22,131800,131822
WBGene00000064.,383,22790,23173
WBGene00000065.,413,149558,149971
WBGene00000066.,1642,323246,324888
WBGene00000067.,1457,67717,69174
WBGene00000068.,2025,2235,4260
WBGene00000069.,42,267,309
WBGene00000070.,381,1829,2210
WBGene00000071.,72,729,801
WBGene00000072.,150,1737,1887
WBGene00000073.,135,1460,1595
WBGene00000074.,325,1505,1830
WBGene00000075.,21,408,429
WBGene00000079.,311,2333,2644
WBGene00000080.,36,1655,1691
WBGene00000081.,304,8067,8371
WBGene00000082.,157,173,330
WBGene00000083.,368,4512,4880
WBGene00000084.,76,553,629
WBGene00000085.,71,575,646
WBGene00000086.,164,1400,1564
WBGene00000088.,170,1695,1865
WBGene00000089.,137,3353,3490
WBGene00000090.,150,1686,1836
WBGene00000092.,398,3609,4007
WBGene00000093.,51,1214,1265
WBGene00000094.,112,1611,1723
WBGene00000095.,258,3018,3276
WBGene00000096.,182,572,754
WBGene00000097.,129,3000,3129
WBGene00000098.,60,1804,1864
WBGene00000099.,76,1422,1498
WBGene00000100.,924,14246,15170
WBGene00000101.,171,3010,3181
WBGene00000102.,571,6800,7371
WBGene00000103.,196,3048,3244
WBGene00000105.,71,4583,4654
WBGene00000106.,91,2113,2204
WBGene00000107.,1645,24610,26255
WBGene00000108.,8,3,11
WBGene00000109.,43,2046,2089
WBGene00000110.,138,4921,5059
WBGene00000111.,402,3166,3568
WBGene00000112.,280,5385,5665
WBGene00000113.,75,876,951
WBGene00000114.,308,61298,61606
WBGene00000115.,64,2642,2706
WBGene00000116.,235,1225,1460
WBGene00000117.,501,1240,1741
WBGene00000118.,11,11011,11022
WBGene00000120.,2,3433,3435
WBGene00000121.,58,3666,3724
WBGene00000122.,62,11329,11391
WBGene00000123.,323,8241,8564
WBGene00000133.,10,45,55
WBGene00000134.,100,315,415
WBGene00000135.,47,459,506
WBGene00000136.,18,1830,1848
WBGene00000137.,120,726,846
WBGene00000138.,103,1088,1191
WBGene00000139.,91,276,367
WBGene00000140.,1284,98079,99363
WBGene00000142.,49,1589,1638
WBGene00000143.,217,1257,1474
WBGene00000144.,70,906,976
WBGene00000145.,7,713,720
WBGene00000146.,505,3951,4456
WBGene00000147.,11,871,882
WBGene00000148.,143,1778,1921
WBGene00000149.,596,22814,23410
WBGene00000150.,235,3050,3285
WBGene00000151.,20,1484,1504
WBGene00000155.,30,2959,2989
WBGene00000156.,89,1299,1388
WBGene00000157.,81,3222,3303
WBGene00000158.,594,3966,4560
WBGene00000159.,56,5116,5172
WBGene00000160.,769,4844,5613
WBGene00000161.,35,3651,3686
WBGene00000162.,618,3547,4165
WBGene00000163.,162,3896,4058
WBGene00000164.,179,1911,2090
WBGene00000165.,44,1449,1493
WBGene00000166.,65,706,771
WBGene00000168.,435,249,684
WBGene00000169.,243,7270,7513
WBGene00000170.,806,26039,26845
WBGene00000171.,23,9,32
WBGene00000172.,589,7822,8411
WBGene00000173.,18,306,324
WBGene00000174.,42,300,342
WBGene00000175.,1753,35283,37036
WBGene00000176.,11,2145,2156
WBGene00000177.,327,2145,2472
WBGene00000178.,339,5034,5373
WBGene00000179.,531,4460,4991
WBGene00000180.,81,1400,1481
WBGene00000181.,1155,9126,10281
WBGene00000182.,230,18925,19155
WBGene00000183.,242,18868,19110
WBGene00000184.,181,1060,1241
WBGene00000185.,3,15,18
WBGene00000186.,519,4681,5200
WBGene00000187.,8,1889,1897
WBGene00000188.,0,227,227
WBGene00000189.,13,559,572
WBGene00000190.,8,93,101
WBGene00000191.,57,397,454
WBGene00000192.,32,3231,3263
WBGene00000193.,18,173,191
WBGene00000195.,121,1734,1855
WBGene00000196.,214,2635,2849
WBGene00000197.,39,6197,6236
WBGene00000198.,508,8918,9426
WBGene00000199.,417,5371,5788
WBGene00000200.,144,4294,4438
WBGene00000201.,764,6427,7191
WBGene00000202.,12,1375,1387
WBGene00000203.,27,3435,3462
WBGene00000204.,104,3753,3857
WBGene00000205.,21,3070,3091
WBGene00000206.,112,3305,3417
WBGene00000207.,1563,69041,70604
WBGene00000208.,755,1222,1977
WBGene00000209.,1422,22260,23682
WBGene00000210.,4970,69111,74081
WBGene00000211.,128,616,744
