gene_id,total_unsp,total_sp,total
WBGene00000001,12,755,767
WBGene00000002,49,782,831
WBGene00000003,4,474,478
WBGene00000004,149,1624,1773
WBGene00000005,4,15,19
WBGene00000006,290,2660,2950
WBGene00000007,6,31,37
WBGene00000008,18,7,25
WBGene00000009,9,32,41
WBGene00000010,35,359,394
WBGene00000012,16,25,41
WBGene00000013,0,104,104
WBGene00000014,2,6,8
WBGene00000015,2,72,74
WBGene00000016,18,1354,1372
WBGene00000017,8,3477,3485
WBGene00000018,303,1237,1540
WBGene00000019,14,6,20
WBGene00000020,142,447,589
WBGene00000022,6,130,136
WBGene00000023,9,30,39
WBGene00000024,0,18,18
WBGene00000025,0,4,4
WBGene00000027,0,2,2
WBGene00000028,0,0,0
WBGene00000029,0,10,10
WBGene00000030,0,0,0
WBGene00000031,108,711,819
WBGene00000032,0,0,0
WBGene00000033,1,46,47
WBGene00000034,1,20,21
WBGene00000035,786,848,1634
WBGene00000036,98,331,429
WBGene00000037,48,1434,1482
WBGene00000038,56,96,152
WBGene00000039,31,1195,1226
WBGene00000040,39,5018,5057
WBGene00000041,481,16860,17341
WBGene00000042,49,221,270
WBGene00000043,38,135,173
WBGene00000044,38,117,155
WBGene00000045,13,25,38
WBGene00000046,71,103,174
WBGene00000047,171,900,1071
WBGene00000048,17,60,77
WBGene00000049,1,12,13
WBGene00000050,9,46,55
WBGene00000051,35,222,257
WBGene00000053,20,39,59
WBGene00000054,42,369,411
WBGene00000055,7,270,277
WBGene00000056,28,77,105
WBGene00000057,86,121,207
WBGene00000058,114,228,342
WBGene00000059,19,86,105
WBGene00000060,15,57,72
WBGene00000061,13,69,82
WBGene00000062,64,84,148
WBGene00000063,521,142453,142974
WBGene00000064,344,17122,17466
WBGene00000065,574,149220,149794
WBGene00000066,1182,213685,214867
WBGene00000067,78,2102,2180
WBGene00000068,1417,1545,2962
WBGene00000069,38,143,181
WBGene00000070,317,1502,1819
WBGene00000071,31,180,211
WBGene00000072,72,776,848
WBGene00000073,67,524,591
WBGene00000074,125,723,848
WBGene00000075,25,135,160
WBGene00000079,236,4197,4433
WBGene00000080,3,277,280
WBGene00000081,45,391,436
WBGene00000082,57,137,194
WBGene00000083,409,3136,3545
WBGene00000084,26,30,56
WBGene00000085,48,448,496
WBGene00000086,98,716,814
WBGene00000088,44,163,207
WBGene00000089,96,2058,2154
WBGene00000090,88,963,1051
WBGene00000092,267,2452,2719
WBGene00000093,39,776,815
WBGene00000094,95,1051,1146
WBGene00000095,175,2260,2435
WBGene00000096,312,879,1191
WBGene00000097,125,1985,2110
WBGene00000098,88,1366,1454
WBGene00000099,106,1234,1340
WBGene00000100,478,3908,4386
WBGene00000101,154,1871,2025
WBGene00000102,371,5172,5543
WBGene00000103,119,1716,1835
WBGene00000105,126,3013,3139
WBGene00000106,83,1669,1752
WBGene00000107,698,7152,7850
WBGene00000108,7,1,8
WBGene00000109,22,917,939
WBGene00000110,119,2453,2572
WBGene00000111,121,555,676
WBGene00000112,391,4295,4686
WBGene00000113,264,546,810
WBGene00000114,340,52719,53059
WBGene00000115,49,2115,2164
WBGene00000116,122,765,887
WBGene00000117,297,589,886
WBGene00000118,16,9242,9258
WBGene00000120,9,3396,3405
WBGene00000121,56,2812,2868
WBGene00000122,85,9163,9248
WBGene00000123,273,5389,5662
WBGene00000133,4,21,25
WBGene00000134,43,152,195
WBGene00000135,14,134,148
WBGene00000136,7,78,85
WBGene00000137,111,543,654
WBGene00000138,72,357,429
WBGene00000139,54,53,107
WBGene00000140,739,41513,42252
WBGene00000142,58,1158,1216
WBGene00000143,163,898,1061
WBGene00000144,80,596,676
WBGene00000145,11,546,557
WBGene00000146,334,2754,3088
WBGene00000147,7,601,608
WBGene00000148,137,1228,1365
WBGene00000149,368,10337,10705
WBGene00000150,107,1066,1173
WBGene00000151,17,877,894
WBGene00000155,14,1069,1083
WBGene00000156,59,1039,1098
WBGene00000157,102,2685,2787
WBGene00000158,422,2213,2635
WBGene00000159,37,3223,3260
WBGene00000160,535,2484,3019
WBGene00000161,161,2462,2623
WBGene00000162,443,2089,2532
WBGene00000163,108,2223,2331
WBGene00000164,172,1235,1407
WBGene00000165,30,1291,1321
WBGene00000166,23,249,272
WBGene00000168,535,346,881
WBGene00000169,15,304,319
WBGene00000170,2273,26732,29005
WBGene00000171,16,2,18
WBGene00000172,35,129,164
WBGene00000173,4,29,33
WBGene00000174,11,79,90
WBGene00000175,2203,32791,34994
WBGene00000176,9,1472,1481
WBGene00000177,331,1700,2031
WBGene00000178,205,2064,2269
WBGene00000179,354,2145,2499
WBGene00000180,60,845,905
WBGene00000181,1034,5588,6622
WBGene00000182,205,14544,14749
WBGene00000183,266,16542,16808
WBGene00000184,174,1569,1743
WBGene00000185,5,29,34
WBGene00000186,523,4666,5189
WBGene00000187,3,1431,1434
WBGene00000188,0,167,167
WBGene00000189,21,570,591
WBGene00000190,28,102,130
WBGene00000192,21,2396,2417
WBGene00000193,11,93,104
WBGene00000195,95,1251,1346
WBGene00000196,188,1530,1718
WBGene00000197,65,4163,4228
WBGene00000198,202,2061,2263
WBGene00000199,245,3704,3949
WBGene00000200,111,2546,2657
WBGene00000201,942,4275,5217
WBGene00000202,5,345,350
WBGene00000203,21,2434,2455
WBGene00000204,102,2851,2953
WBGene00000205,8,1894,1902
WBGene00000206,204,2689,2893
WBGene00000207,1401,42637,44038
WBGene00000208,421,805,1226
WBGene00000209,1556,16595,18151
WBGene00000210,4770,44736,49506
WBGene00000211,158,577,735
WBGene00000212,12,68,80
WBGene00000213,3,52,55
WBGene00000214,0,6468,6468
WBGene00000215,97,730,827
WBGene00000216,7,2004,2011
WBGene00000217,1999,21439,23438
WBGene00000218,27,1725,1752
WBGene00000219,11,1853,1864
WBGene00000220,78,980,1058
WBGene00000221,1219,10434,11653
WBGene00000222,121,1421,1542
WBGene00000223,604,5232,5836
WBGene00000224,307,4117,4424
WBGene00000225,6418,3189,9607
WBGene00000226,203,1748,1951
WBGene00000227,220,1361,1581
WBGene00000228,699,14608,15307
WBGene00000229,3093,104526,107619
WBGene00000230,334,40794,41128
WBGene00000231,302,2540,2842
WBGene00000232,267,1233,1500
WBGene00000233,142,571,713
WBGene00000235,10,8905,8915
WBGene00000236,268,1941,2209
WBGene00000237,83,575,658
WBGene00000238,81,641,722
WBGene00000239,97,498,595
WBGene00000240,547,2595,3142
WBGene00000241,19,110,129
WBGene00000242,32,247,279
WBGene00000244,46,332,378
WBGene00000245,317,5919,6236
WBGene00000246,60,114,174
WBGene00000247,63,1444,1507
WBGene00000248,360,3958,4318
WBGene00000249,10,2375,2385
WBGene00000250,10,291,301
WBGene00000251,0,1,1
WBGene00000252,0,1,1
WBGene00000253,74,417,491
WBGene00000254,589,2063,2652
WBGene00000255,40,20,60
WBGene00000256,1,24,25
WBGene00000257,83,1828,1911
WBGene00000259,114,912,1026
WBGene00000262,15,651,666
WBGene00000263,6013,50645,56658
WBGene00000264,299,574,873
WBGene00000265,154,560,714
