gene_id,total_unsp,total_sp,total
WBGene00000001.,3,168,171
WBGene00000002.,14,163,177
WBGene00000003.,1,118,119
WBGene00000004.,36,363,399
WBGene00000005.,1,3,4
WBGene00000006.,138,971,1109
WBGene00000007.,3,11,14
WBGene00000008.,12,5,17
WBGene00000009.,3,14,17
WBGene00000010.,5,83,88
WBGene00000012.,7,8,15
WBGene00000013.,0,28,28
WBGene00000014.,1,3,4
WBGene00000015.,0,14,14
WBGene00000016.,67,1352,1419
WBGene00000017.,3,517,520
WBGene00000018.,70,307,377
WBGene00000019.,0,0,0
WBGene00000020.,47,150,197
WBGene00000021.,0,0,0
WBGene00000022.,5,58,63
WBGene00000023.,2,6,8
WBGene00000024.,0,0,0
WBGene00000025.,0,2,2
WBGene00000026.,0,0,0
WBGene00000027.,0,0,0
WBGene00000028.,0,0,0
WBGene00000029.,0,0,0
WBGene00000030.,0,5,5
WBGene00000031.,0,38,38
WBGene00000032.,0,0,0
WBGene00000033.,0,2,2
WBGene00000034.,0,7,7
WBGene00000035.,92,261,353
WBGene00000036.,26,124,150
WBGene00000037.,17,340,357
WBGene00000038.,17,38,55
WBGene00000039.,9,307,316
WBGene00000040.,12,1527,1539
WBGene00000041.,139,6899,7038
WBGene00000042.,14,49,63
WBGene00000043.,21,50,71
WBGene00000044.,9,31,40
WBGene00000045.,4,12,16
WBGene00000046.,24,45,69
WBGene00000047.,63,334,397
WBGene00000048.,0,13,13
WBGene00000049.,0,0,0
WBGene00000050.,1,4,5
WBGene00000051.,13,62,75
WBGene00000053.,3,10,13
WBGene00000054.,35,123,158
WBGene00000055.,6,69,75
WBGene00000056.,10,37,47
WBGene00000057.,22,34,56
WBGene00000058.,24,38,62
WBGene00000059.,12,28,40
WBGene00000060.,21,34,55
WBGene00000061.,5,36,41
WBGene00000062.,14,25,39
WBGene00000063.,5,50836,50841
WBGene00000064.,185,4509,4694
WBGene00000065.,125,43701,43826
WBGene00000066.,548,62949,63497
WBGene00000067.,50,669,719
WBGene00000068.,716,413,1129
WBGene00000069.,12,32,44
WBGene00000070.,51,459,510
WBGene00000071.,8,47,55
WBGene00000072.,29,154,183
WBGene00000073.,30,165,195
WBGene00000074.,34,163,197
WBGene00000075.,7,45,52
WBGene00000079.,65,314,379
WBGene00000080.,13,237,250
WBGene00000081.,18,91,109
WBGene00000082.,6,12,18
WBGene00000083.,98,821,919
WBGene00000084.,12,14,26
WBGene00000085.,12,71,83
WBGene00000086.,37,159,196
WBGene00000088.,23,64,87
WBGene00000089.,42,508,550
WBGene00000090.,21,211,232
WBGene00000092.,40,605,645
WBGene00000093.,16,199,215
WBGene00000094.,55,207,262
WBGene00000095.,35,350,385
WBGene00000096.,33,94,127
WBGene00000097.,61,406,467
WBGene00000098.,13,298,311
WBGene00000099.,38,182,220
WBGene00000100.,167,762,929
WBGene00000101.,46,395,441
WBGene00000102.,82,974,1056
WBGene00000103.,26,350,376
WBGene00000105.,8,892,900
WBGene00000106.,13,385,398
WBGene00000107.,407,1976,2383
WBGene00000108.,3,2,5
WBGene00000109.,2,188,190
WBGene00000110.,44,523,567
WBGene00000111.,41,104,145
WBGene00000112.,79,1262,1341
WBGene00000113.,21,156,177
WBGene00000114.,114,15394,15508
WBGene00000115.,12,422,434
