gene_id,total_unsp,total_sp,total
WBGene00000001,19,1313,1332
WBGene00000002,47,664,711
WBGene00000003,4,359,363
WBGene00000004,140,1348,1488
WBGene00000005,2,9,11
WBGene00000006,305,3102,3407
WBGene00000007,11,64,75
WBGene00000008,12,3,15
WBGene00000009,12,106,118
WBGene00000010,43,466,509
WBGene00000012,17,64,81
WBGene00000013,0,474,474
WBGene00000014,2,10,12
WBGene00000015,2,87,89
WBGene00000016,128,12485,12613
WBGene00000017,6,8217,8223
WBGene00000018,399,1312,1711
WBGene00000019,19,7,26
WBGene00000020,328,1374,1702
WBGene00000022,65,805,870
WBGene00000023,14,37,51
WBGene00000024,0,4,4
WBGene00000025,0,22,22
WBGene00000027,0,3,3
WBGene00000028,0,0,0
WBGene00000029,0,0,0
WBGene00000030,0,0,0
WBGene00000031,113,63,176
WBGene00000032,0,0,0
WBGene00000033,0,16,16
WBGene00000034,0,58,58
WBGene00000035,1631,482,2113
WBGene00000036,205,863,1068
WBGene00000037,53,953,1006
WBGene00000038,67,189,256
WBGene00000039,1,7,8
WBGene00000040,14,1955,1969
WBGene00000041,231,5499,5730
WBGene00000042,107,311,418
WBGene00000043,29,119,148
WBGene00000044,71,102,173
WBGene00000045,21,40,61
WBGene00000046,134,314,448
WBGene00000047,41,132,173
WBGene00000048,9,121,130
WBGene00000049,17,108,125
WBGene00000050,10,172,182
WBGene00000051,31,239,270
WBGene00000053,16,44,60
WBGene00000054,21,173,194
WBGene00000055,12,298,310
WBGene00000056,35,153,188
WBGene00000057,77,152,229
WBGene00000058,275,462,737
WBGene00000059,34,129,163
WBGene00000060,13,40,53
WBGene00000061,30,266,296
WBGene00000062,98,122,220
WBGene00000063,372,69676,70048
WBGene00000064,192,12644,12836
WBGene00000065,93,25637,25730
WBGene00000066,1273,305636,306909
WBGene00000067,55,2896,2951
WBGene00000068,1424,1897,3321
WBGene00000069,35,248,283
WBGene00000070,335,750,1085
WBGene00000071,52,330,382
WBGene00000072,119,1055,1174
WBGene00000073,104,1000,1104
WBGene00000074,371,1102,1473
WBGene00000075,11,174,185
WBGene00000079,314,3038,3352
WBGene00000080,6,370,376
WBGene00000081,252,5854,6106
WBGene00000082,212,215,427
WBGene00000083,349,1004,1353
WBGene00000084,74,321,395
WBGene00000085,30,268,298
WBGene00000086,190,1140,1330
WBGene00000088,119,1102,1221
WBGene00000089,76,1622,1698
WBGene00000090,157,1522,1679
WBGene00000092,405,4484,4889
WBGene00000093,12,464,476
WBGene00000094,118,1411,1529
WBGene00000095,243,3095,3338
WBGene00000096,374,1115,1489
WBGene00000097,108,2333,2441
WBGene00000098,86,1341,1427
WBGene00000099,84,1078,1162
WBGene00000100,1130,16907,18037
WBGene00000101,186,3228,3414
WBGene00000102,759,10068,10827
WBGene00000103,155,3133,3288
WBGene00000105,143,3513,3656
WBGene00000106,75,725,800
WBGene00000107,1228,14473,15701
WBGene00000108,14,1,15
WBGene00000109,43,2071,2114
WBGene00000110,200,4911,5111
WBGene00000111,155,785,940
WBGene00000112,246,1883,2129
WBGene00000113,178,240,418
WBGene00000114,493,153498,153991
WBGene00000115,15,846,861
WBGene00000116,107,579,686
WBGene00000117,575,944,1519
WBGene00000118,18,21654,21672
WBGene00000120,1,3068,3069
WBGene00000121,34,2137,2171
WBGene00000122,40,5798,5838
WBGene00000123,219,5350,5569
WBGene00000133,34,701,735
WBGene00000134,97,241,338
WBGene00000135,51,346,397
WBGene00000136,27,233,260
WBGene00000137,82,424,506
WBGene00000138,63,510,573
WBGene00000139,154,520,674
WBGene00000140,1281,87033,88314
WBGene00000142,66,1012,1078
WBGene00000143,175,1612,1787
WBGene00000144,213,2343,2556
WBGene00000145,5,837,842
WBGene00000146,546,3997,4543
WBGene00000147,7,909,916
WBGene00000148,90,1058,1148
WBGene00000149,554,18487,19041
WBGene00000150,177,2527,2704
WBGene00000151,13,1479,1492
WBGene00000155,11,1260,1271
WBGene00000156,112,1345,1457
WBGene00000157,52,1562,1614
WBGene00000158,652,1926,2578
WBGene00000159,37,4243,4280
WBGene00000160,737,2074,2811
WBGene00000161,126,1785,1911
WBGene00000162,674,2504,3178
WBGene00000163,110,3664,3774
WBGene00000164,104,873,977
WBGene00000165,21,1054,1075
WBGene00000166,50,461,511
WBGene00000168,490,203,693
WBGene00000169,96,1413,1509
WBGene00000170,2838,44201,47039
WBGene00000171,34,19,53
WBGene00000172,206,845,1051
WBGene00000173,17,243,260
WBGene00000174,71,583,654
WBGene00000175,127,2498,2625
WBGene00000176,6,230,236
WBGene00000177,100,593,693
WBGene00000178,211,3670,3881
WBGene00000179,163,1053,1216
WBGene00000180,80,771,851
WBGene00000181,504,4362,4866
WBGene00000182,131,6422,6553
WBGene00000183,177,8296,8473
WBGene00000184,236,2142,2378
WBGene00000185,2,126,128
WBGene00000186,576,2809,3385
WBGene00000187,5,1020,1025
WBGene00000188,0,152,152
WBGene00000189,21,372,393
WBGene00000190,98,309,407
WBGene00000192,24,2815,2839
WBGene00000193,19,140,159
WBGene00000195,107,1647,1754
WBGene00000196,173,1484,1657
WBGene00000197,19,2782,2801
WBGene00000198,112,1637,1749
WBGene00000199,314,2893,3207
WBGene00000200,117,3311,3428
WBGene00000201,1001,5983,6984
WBGene00000202,6,341,347
WBGene00000203,23,1459,1482
WBGene00000204,100,3029,3129
WBGene00000205,15,1443,1458
WBGene00000206,87,1959,2046
WBGene00000207,1105,39072,40177
WBGene00000208,1778,1727,3505
WBGene00000209,617,8896,9513
WBGene00000210,3244,41388,44632
WBGene00000211,75,348,423
WBGene00000212,125,1053,1178
WBGene00000213,39,1292,1331
WBGene00000214,0,169619,169619
WBGene00000215,297,7222,7519
WBGene00000216,87,51476,51563
WBGene00000217,2148,27822,29970
WBGene00000218,526,47441,47967
WBGene00000219,66,109065,109131
WBGene00000220,65,650,715
WBGene00000221,1223,9291,10514
WBGene00000222,136,1670,1806
WBGene00000223,875,5323,6198
WBGene00000224,282,4130,4412
WBGene00000225,4617,2586,7203
WBGene00000226,199,2928,3127
WBGene00000227,332,1520,1852
WBGene00000228,155,2623,2778
WBGene00000229,2808,87919,90727
WBGene00000230,134,41922,42056
WBGene00000231,244,2285,2529
WBGene00000232,217,1205,1422
WBGene00000233,308,1849,2157
WBGene00000235,5,4517,4522
WBGene00000236,161,1427,1588
WBGene00000237,118,583,701
WBGene00000238,53,389,442
WBGene00000239,42,290,332
WBGene00000240,1954,19137,21091
WBGene00000241,49,184,233
WBGene00000242,40,341,381
WBGene00000244,56,634,690
WBGene00000245,78,1170,1248
WBGene00000246,44,74,118
WBGene00000247,104,2244,2348
WBGene00000248,242,2368,2610
WBGene00000249,13,2658,2671
WBGene00000250,53,1404,1457
WBGene00000251,3,7,10
WBGene00000252,1,43,44
WBGene00000253,94,526,620
WBGene00000254,778,3296,4074
WBGene00000255,59,18,77
WBGene00000256,0,8,8
WBGene00000257,67,2880,2947
