gene_id,total_unsp,total_sp,total
WBGene00000001.,19,1312,1331
WBGene00000002.,47,653,700
WBGene00000003.,4,358,362
WBGene00000004.,138,1349,1487
WBGene00000005.,2,9,11
WBGene00000006.,304,3114,3418
WBGene00000007.,11,64,75
WBGene00000008.,12,3,15
WBGene00000009.,12,85,97
WBGene00000010.,40,465,505
WBGene00000012.,17,59,76
WBGene00000013.,0,352,352
WBGene00000014.,2,10,12
WBGene00000015.,2,102,104
WBGene00000016.,128,12332,12460
WBGene00000017.,6,8208,8214
WBGene00000018.,391,1313,1704
WBGene00000019.,19,7,26
WBGene00000020.,324,1373,1697
WBGene00000021.,6,2,8
WBGene00000022.,65,800,865
WBGene00000023.,14,37,51
WBGene00000024.,0,2,2
WBGene00000025.,0,22,22
WBGene00000026.,0,1,1
WBGene00000027.,0,2,2
WBGene00000028.,0,0,0
WBGene00000029.,0,0,0
WBGene00000030.,0,9,9
WBGene00000031.,0,72,72
WBGene00000032.,0,0,0
WBGene00000033.,0,16,16
WBGene00000034.,0,59,59
WBGene00000035.,297,479,776
WBGene00000036.,205,1010,1215
WBGene00000037.,53,949,1002
WBGene00000038.,68,187,255
WBGene00000039.,1,7,8
WBGene00000040.,14,1951,1965
WBGene00000041.,220,5518,5738
WBGene00000042.,106,310,416
WBGene00000043.,29,119,148
WBGene00000044.,67,96,163
WBGene00000045.,19,40,59
WBGene00000046.,134,329,463
WBGene00000047.,37,153,190
WBGene00000048.,9,126,135
WBGene00000049.,16,112,128
WBGene00000050.,10,180,190
WBGene00000051.,31,240,271
WBGene00000053.,15,39,54
WBGene00000054.,21,173,194
WBGene00000055.,12,297,309
WBGene00000056.,35,154,189
WBGene00000057.,72,152,224
WBGene00000058.,275,497,772
WBGene00000059.,34,129,163
WBGene00000060.,82,159,241
WBGene00000061.,30,272,302
WBGene00000062.,98,124,222
WBGene00000063.,16,67450,67466
WBGene00000064.,192,12602,12794
WBGene00000065.,94,25614,25708
WBGene00000066.,1475,305688,307163
WBGene00000067.,55,2873,2928
WBGene00000068.,1398,1897,3295
WBGene00000069.,35,243,278
WBGene00000070.,326,753,1079
WBGene00000071.,51,329,380
WBGene00000072.,123,1051,1174
WBGene00000073.,100,992,1092
WBGene00000074.,373,1118,1491
WBGene00000075.,11,177,188
