gene_id,total_unsp,total_sp,total
WBGene00000001.,16,778,794
WBGene00000002.,28,366,394
WBGene00000003.,5,224,229
WBGene00000004.,143,1023,1166
WBGene00000005.,0,1,1
WBGene00000006.,370,2703,3073
WBGene00000007.,8,31,39
WBGene00000008.,7,11,18
WBGene00000009.,12,14,26
WBGene00000010.,24,365,389
WBGene00000012.,18,34,52
WBGene00000013.,0,878,878
WBGene00000014.,2,13,15
WBGene00000015.,0,69,69
WBGene00000016.,35,1806,1841
WBGene00000017.,6,2452,2458
WBGene00000018.,301,640,941
WBGene00000019.,8,2,10
WBGene00000020.,153,543,696
WBGene00000021.,8,2,10
WBGene00000022.,25,196,221
WBGene00000023.,13,11,24
WBGene00000024.,0,1,1
WBGene00000025.,0,3,3
WBGene00000026.,1,2,3
WBGene00000027.,0,2,2
WBGene00000028.,0,1,1
WBGene00000029.,0,0,0
WBGene00000030.,0,4,4
WBGene00000031.,3,14,17
WBGene00000032.,0,0,0
WBGene00000033.,2,1,3
WBGene00000034.,1,76,77
WBGene00000035.,316,631,947
WBGene00000036.,177,836,1013
WBGene00000037.,39,609,648
WBGene00000038.,40,68,108
WBGene00000039.,3,3,6
WBGene00000040.,14,980,994
WBGene00000041.,273,4741,5014
WBGene00000042.,59,173,232
WBGene00000043.,24,59,83
WBGene00000044.,24,50,74
WBGene00000045.,3,21,24
WBGene00000046.,119,239,358
WBGene00000047.,41,194,235
WBGene00000048.,15,58,73
WBGene00000049.,9,32,41
WBGene00000050.,4,69,73
WBGene00000051.,21,121,142
WBGene00000053.,12,20,32
WBGene00000054.,14,132,146
WBGene00000055.,10,198,208
WBGene00000056.,29,85,114
WBGene00000057.,74,120,194
WBGene00000058.,154,358,512
WBGene00000059.,17,108,125
WBGene00000060.,54,99,153
WBGene00000061.,15,70,85
WBGene00000062.,143,216,359
WBGene00000063.,16,73730,73746
WBGene00000064.,135,6318,6453
WBGene00000065.,153,26368,26521
WBGene00000066.,2129,305262,307391
WBGene00000067.,19,672,691
WBGene00000068.,1089,1433,2522
WBGene00000069.,22,125,147
WBGene00000070.,195,680,875
WBGene00000071.,22,142,164
WBGene00000072.,59,647,706
WBGene00000073.,85,931,1016
WBGene00000074.,239,639,878
WBGene00000075.,21,127,148
WBGene00000079.,257,777,1034
WBGene00000080.,33,962,995
WBGene00000081.,102,1691,1793
WBGene00000082.,87,137,224
WBGene00000083.,222,737,959
WBGene00000084.,57,120,177
WBGene00000085.,25,201,226
WBGene00000086.,91,542,633
WBGene00000088.,51,363,414
WBGene00000089.,51,855,906
WBGene00000090.,103,858,961
WBGene00000092.,302,3203,3505
WBGene00000093.,14,199,213
WBGene00000094.,85,761,846
WBGene00000095.,198,2405,2603
WBGene00000096.,277,773,1050
WBGene00000097.,134,2101,2235
WBGene00000098.,31,629,660
WBGene00000099.,52,648,700
WBGene00000100.,646,7386,8032
WBGene00000101.,165,2057,2222
WBGene00000102.,649,7365,8014
WBGene00000103.,159,2110,2269
WBGene00000105.,65,2825,2890
WBGene00000106.,62,578,640
WBGene00000107.,1007,8619,9626
WBGene00000108.,2,7,9
WBGene00000109.,61,2475,2536
WBGene00000110.,148,3412,3560
WBGene00000111.,64,380,444
WBGene00000112.,142,1710,1852
WBGene00000113.,53,208,261
WBGene00000114.,837,152185,153022
WBGene00000115.,27,703,730
WBGene00000116.,90,502,592
WBGene00000117.,333,533,866
WBGene00000118.,37,25148,25185
WBGene00000120.,2,2296,2298
WBGene00000121.,20,1058,1078
WBGene00000122.,38,3778,3816
WBGene00000123.,189,3179,3368
WBGene00000133.,19,315,334
WBGene00000134.,42,124,166
WBGene00000135.,20,162,182
WBGene00000136.,12,138,150
WBGene00000137.,71,253,324
WBGene00000138.,26,228,254
WBGene00000139.,124,291,415
WBGene00000140.,1156,51401,52557
WBGene00000142.,41,661,702
WBGene00000143.,191,874,1065
WBGene00000144.,120,889,1009
WBGene00000145.,10,552,562
WBGene00000146.,475,2329,2804
WBGene00000147.,6,704,710
WBGene00000148.,84,622,706
WBGene00000149.,334,8219,8553
WBGene00000150.,130,1076,1206
WBGene00000151.,17,910,927
WBGene00000155.,6,607,613
WBGene00000156.,72,730,802
WBGene00000157.,46,1001,1047
WBGene00000158.,450,1273,1723
WBGene00000159.,33,2408,2441
WBGene00000160.,474,924,1398
WBGene00000161.,22,1225,1247
WBGene00000162.,415,1293,1708
WBGene00000163.,60,1925,1985
WBGene00000164.,69,546,615
WBGene00000165.,16,716,732
WBGene00000166.,38,215,253
WBGene00000168.,315,112,427
WBGene00000169.,27,329,356
WBGene00000170.,1457,56171,57628
WBGene00000171.,10,3,13
WBGene00000172.,58,177,235
WBGene00000173.,18,132,150
WBGene00000174.,33,164,197
WBGene00000175.,130,1788,1918
WBGene00000176.,7,153,160
WBGene00000177.,103,366,469
WBGene00000178.,152,1796,1948
WBGene00000179.,157,768,925
WBGene00000180.,38,468,506
WBGene00000181.,429,2916,3345
WBGene00000182.,116,4455,4571
WBGene00000183.,179,5044,5223
WBGene00000184.,226,1538,1764
WBGene00000185.,2,99,101
WBGene00000186.,424,2099,2523
WBGene00000187.,3,694,697
WBGene00000188.,0,137,137
WBGene00000189.,23,286,309
WBGene00000190.,18,90,108
WBGene00000191.,25,174,199
WBGene00000192.,29,2059,2088
WBGene00000193.,21,116,137
WBGene00000195.,90,1146,1236
WBGene00000196.,139,889,1028
WBGene00000197.,24,1734,1758
WBGene00000198.,102,867,969
WBGene00000199.,216,1917,2133
WBGene00000200.,108,1909,2017
WBGene00000201.,609,4311,4920
WBGene00000202.,4,460,464
WBGene00000203.,22,944,966
WBGene00000204.,85,2061,2146
WBGene00000205.,16,937,953
WBGene00000206.,68,1061,1129
WBGene00000207.,1052,30000,31052
WBGene00000208.,1064,1310,2374
WBGene00000209.,586,6715,7301
WBGene00000210.,3741,35959,39700
WBGene00000211.,131,445,576
WBGene00000212.,39,225,264
WBGene00000213.,18,220,238
WBGene00000214.,0,34028,34028
WBGene00000215.,91,1512,1603
WBGene00000216.,45,10194,10239
WBGene00000217.,2979,31932,34911
WBGene00000218.,161,10244,10405
WBGene00000219.,26,22101,22127
WBGene00000220.,55,371,426
WBGene00000221.,0,1610,1610
WBGene00000222.,97,926,1023
WBGene00000223.,732,3675,4407
WBGene00000224.,274,2743,3017
WBGene00000225.,168,1304,1472
WBGene00000226.,161,1421,1582
WBGene00000227.,167,721,888
WBGene00000228.,172,2919,3091
WBGene00000229.,2669,68660,71329
WBGene00000230.,208,32232,32440
WBGene00000231.,176,1456,1632
WBGene00000232.,133,709,842
WBGene00000233.,191,565,756
WBGene00000235.,4,3289,3293
WBGene00000236.,133,913,1046
WBGene00000237.,55,287,342
WBGene00000238.,52,243,295
WBGene00000239.,26,97,123
WBGene00000240.,2035,12507,14542
WBGene00000241.,35,140,175
WBGene00000242.,31,233,264
WBGene00000244.,46,419,465
WBGene00000245.,76,1230,1306
WBGene00000246.,40,75,115
WBGene00000247.,108,1807,1915
WBGene00000248.,178,1338,1516
WBGene00000249.,38,1717,1755
WBGene00000250.,30,551,581
WBGene00000251.,0,4,4
WBGene00000252.,0,22,22
WBGene00000253.,75,427,502
WBGene00000254.,468,1990,2458
WBGene00000255.,9,9,18
WBGene00000256.,0,5,5
WBGene00000257.,54,1380,1434
WBGene00000259.,129,1217,1346
WBGene00000262.,8,469,477
WBGene00000263.,4017,33112,37129
WBGene00000264.,212,528,740
WBGene00000265.,110,483,593
WBGene00000266.,91,923,1014
WBGene00000267.,88,239,327
WBGene00000268.,536,900,1436
WBGene00000269.,193,669,862
WBGene00000270.,33,453,486
WBGene00000271.,35,759,794
WBGene00000272.,26,50,76
WBGene00000273.,713,22893,23606
WBGene00000274.,253,707,960
WBGene00000275.,20,809,829
WBGene00000276.,319,7719,8038
WBGene00000277.,2029,19621,21650
WBGene00000279.,12,139,151
WBGene00000280.,27,208,235
WBGene00000281.,59,4070,4129
WBGene00000282.,336,2909,3245
WBGene00000283.,89,1270,1359
WBGene00000284.,19,678,697
WBGene00000285.,460,6752,7212
WBGene00000286.,1297,13389,14686
WBGene00000287.,142,743,885
WBGene00000288.,206,1455,1661
WBGene00000289.,248,976,1224
WBGene00000292.,311,4632,4943
WBGene00000293.,510,12313,12823
WBGene00000294.,392,6338,6730
WBGene00000295.,27,167,194
WBGene00000296.,4,22,26
WBGene00000298.,51,1360,1411
WBGene00000301.,15,16338,16353
WBGene00000302.,6,90,96
WBGene00000308.,11,31,42
WBGene00000310.,0,0,0
WBGene00000311.,0,0,0
WBGene00000366.,266,5717,5983
WBGene00000367.,365,1814,2179
WBGene00000368.,241,2105,2346
WBGene00000369.,2,1509,1511
WBGene00000370.,4859,21803,26662
WBGene00000371.,4519,54727,59246
WBGene00000372.,17,261,278
WBGene00000373.,36,168,204
WBGene00000374.,136,1090,1226
WBGene00000375.,40,251,291
WBGene00000376.,556,1365,1921
WBGene00000377.,69,7333,7402
WBGene00000378.,13,7306,7319
WBGene00000379.,1000,12798,13798
WBGene00000380.,884,19226,20110
WBGene00000381.,44,4350,4394
WBGene00000382.,39,418,457
WBGene00000383.,151,4858,5009
WBGene00000386.,18,212,230
WBGene00000387.,349,197,546
WBGene00000388.,2,12,14
WBGene00000389.,0,0,0
WBGene00000390.,154,3732,3886
WBGene00000391.,372,2298,2670
WBGene00000392.,0,34,34
WBGene00000393.,152,888,1040
WBGene00000395.,74,329,403
WBGene00000396.,78,1778,1856
WBGene00000397.,3,20,23
WBGene00000399.,4,3,7
WBGene00000401.,23,38,61
WBGene00000402.,90,6,96
WBGene00000403.,542,5847,6389
WBGene00000405.,52,2156,2208
WBGene00000406.,32,269,301
WBGene00000407.,311,1023,1334
WBGene00000408.,439,1294,1733
WBGene00000409.,115,856,971
WBGene00000410.,261,1113,1374
WBGene00000411.,19,1763,1782
WBGene00000412.,3,20,23
WBGene00000413.,57,362,419
WBGene00000414.,278,5849,6127
WBGene00000415.,2578,3507,6085
WBGene00000416.,53,1337,1390
WBGene00000417.,55,126,181
WBGene00000418.,16,338,354
WBGene00000419.,254,1339,1593
WBGene00000420.,90,974,1064
WBGene00000421.,292,2196,2488
WBGene00000422.,6,28,34
WBGene00000423.,32,678,710
WBGene00000424.,98,904,1002
WBGene00000425.,9,117,126
WBGene00000426.,341,1168,1509
WBGene00000427.,3,10,13
WBGene00000428.,6,114,120
WBGene00000429.,85,166,251
WBGene00000430.,4,63,67
WBGene00000431.,17,312,329
WBGene00000432.,32,23,55
WBGene00000433.,134,610,744
WBGene00000434.,12,41,53
WBGene00000435.,8,80,88
WBGene00000436.,7,58,65
WBGene00000437.,160,1593,1753
WBGene00000438.,26,78,104
WBGene00000439.,88,418,506
WBGene00000440.,1,23,24
WBGene00000441.,289,458,747
WBGene00000442.,23,175,198
WBGene00000443.,134,2654,2788
WBGene00000444.,13,211,224
WBGene00000445.,24,172,196
WBGene00000446.,13,187,200
WBGene00000447.,37,134,171
WBGene00000448.,89,753,842
WBGene00000449.,177,682,859
WBGene00000450.,3,5,8
WBGene00000451.,4,43,47
WBGene00000452.,4,164,168
WBGene00000453.,35,342,377
WBGene00000454.,33,394,427
WBGene00000455.,111,1093,1204
WBGene00000457.,20,70,90
WBGene00000458.,67,484,551
WBGene00000459.,112,1546,1658
WBGene00000460.,15,214,229
WBGene00000461.,8,14,22
WBGene00000462.,6,159,165
WBGene00000463.,48,297,345
WBGene00000464.,0,34,34
WBGene00000465.,31,845,876
WBGene00000466.,352,1969,2321
WBGene00000467.,43,517,560
WBGene00000468.,4,4,8
WBGene00000469.,25,44,69
WBGene00000472.,77,24497,24574
WBGene00000473.,3,516,519
WBGene00000474.,5,551,556
WBGene00000475.,28,9878,9906
WBGene00000476.,87,358,445
WBGene00000477.,10,26,36
WBGene00000478.,55,224,279
WBGene00000479.,15,1609,1624
WBGene00000480.,166,1134,1300
WBGene00000481.,20,277,297
WBGene00000482.,142,2993,3135
WBGene00000483.,17,18,35
WBGene00000484.,48,128,176
WBGene00000485.,107,666,773
WBGene00000487.,18,16,34
WBGene00000488.,93,174,267
WBGene00000490.,38,352,390
WBGene00000491.,158,484,642
WBGene00000492.,155,337,492
WBGene00000493.,44,215,259
WBGene00000496.,62,179,241
WBGene00000497.,23,50,73
WBGene00000498.,8,602,610
WBGene00000499.,41,66,107
WBGene00000500.,67,1143,1210
WBGene00000501.,62,404,466
WBGene00000502.,36,1112,1148
WBGene00000503.,1,63,64
WBGene00000506.,268,899,1167
WBGene00000507.,135,658,793
WBGene00000508.,32,1417,1449
WBGene00000509.,334,2111,2445
WBGene00000510.,158,1240,1398
WBGene00000511.,48,207,255
WBGene00000512.,34,322,356
WBGene00000513.,9,199,208
WBGene00000514.,70,293,363
WBGene00000515.,10,336,346
WBGene00000516.,9,2795,2804
WBGene00000517.,109,375,484
WBGene00000518.,902,1322,2224
WBGene00000519.,386,681,1067
WBGene00000520.,128,670,798
WBGene00000521.,5,12,17
WBGene00000522.,105,333,438
WBGene00000523.,66,515,581
WBGene00000524.,31,470,501
WBGene00000525.,9,4,13
WBGene00000526.,25,579,604
WBGene00000527.,245,709,954
WBGene00000528.,186,302,488
WBGene00000529.,208,214,422
WBGene00000530.,85,158,243
WBGene00000531.,18,35,53
WBGene00000532.,43,1026,1069
WBGene00000533.,20,285,305
WBGene00000534.,52,20143,20195
WBGene00000535.,555,8568,9123
WBGene00000536.,45,381,426
WBGene00000537.,22,460,482
WBGene00000539.,1,13,14
WBGene00000540.,83,343,426
WBGene00000541.,119,287,406
WBGene00000542.,683,7563,8246
WBGene00000543.,129,518,647
WBGene00000544.,73,22,95
WBGene00000545.,1147,2479,3626
WBGene00000546.,18,32,50
WBGene00000547.,320,1241,1561
WBGene00000548.,167,1967,2134
WBGene00000549.,14,1282,1296
WBGene00000550.,25,1447,1472
WBGene00000551.,0,11,11
WBGene00000552.,672,11559,12231
WBGene00000553.,1132,1102,2234
WBGene00000554.,1171,9190,10361
WBGene00000555.,0,1,1
WBGene00000556.,0,21,21
WBGene00000557.,13,214,227
WBGene00000558.,230,3983,4213
WBGene00000559.,0,4,4
WBGene00000560.,44,615,659
WBGene00000561.,1,24,25
WBGene00000562.,29,108,137
WBGene00000563.,30,12,42
WBGene00000564.,216,739,955
