gene_id,total_unsp,total_sp,total
WBGene00000001.,15,828,843
WBGene00000002.,33,429,462
WBGene00000003.,4,193,197
WBGene00000004.,141,1049,1190
WBGene00000005.,6,6,12
WBGene00000006.,280,2211,2491
WBGene00000007.,4,23,27
WBGene00000008.,6,8,14
WBGene00000009.,9,14,23
WBGene00000010.,37,366,403
WBGene00000012.,13,35,48
WBGene00000013.,0,548,548
WBGene00000014.,0,4,4
WBGene00000015.,0,69,69
WBGene00000016.,15,983,998
WBGene00000017.,7,2518,2525
WBGene00000018.,267,605,872
WBGene00000019.,13,6,19
WBGene00000020.,186,605,791
WBGene00000021.,11,1,12
WBGene00000022.,17,150,167
WBGene00000023.,15,16,31
WBGene00000024.,0,2,2
WBGene00000025.,0,4,4
WBGene00000026.,0,1,1
WBGene00000027.,0,2,2
WBGene00000028.,0,1,1
WBGene00000029.,0,0,0
WBGene00000030.,0,7,7
WBGene00000031.,0,21,21
WBGene00000032.,0,0,0
WBGene00000033.,2,3,5
WBGene00000034.,4,60,64
WBGene00000035.,275,540,815
WBGene00000036.,152,764,916
WBGene00000037.,36,744,780
WBGene00000038.,58,64,122
WBGene00000039.,2,10,12
WBGene00000040.,20,947,967
WBGene00000041.,209,3746,3955
WBGene00000042.,59,166,225
WBGene00000043.,22,74,96
WBGene00000044.,33,72,105
WBGene00000045.,4,19,23
WBGene00000046.,127,252,379
WBGene00000047.,39,196,235
WBGene00000048.,8,88,96
WBGene00000049.,11,33,44
WBGene00000050.,8,51,59
WBGene00000051.,24,124,148
WBGene00000053.,10,22,32
WBGene00000054.,30,120,150
WBGene00000055.,8,216,224
WBGene00000056.,45,76,121
WBGene00000057.,48,73,121
WBGene00000058.,155,290,445
WBGene00000059.,36,86,122
WBGene00000060.,52,120,172
WBGene00000061.,14,66,80
WBGene00000062.,144,188,332
WBGene00000063.,9,52274,52283
WBGene00000064.,146,7311,7457
WBGene00000065.,107,18038,18145
WBGene00000066.,1858,234295,236153
WBGene00000067.,15,478,493
WBGene00000068.,1182,1229,2411
WBGene00000069.,51,173,224
WBGene00000070.,170,530,700
WBGene00000071.,42,171,213
WBGene00000072.,91,676,767
