gene_id,total_unsp,total_sp,total
WBGene00000001,15,830,845
WBGene00000002,33,435,468
WBGene00000003,4,193,197
WBGene00000004,141,1045,1186
WBGene00000005,6,6,12
WBGene00000006,280,2202,2482
WBGene00000007,4,23,27
WBGene00000008,6,5,11
WBGene00000009,9,19,28
WBGene00000010,40,364,404
WBGene00000012,14,38,52
WBGene00000013,0,693,693
WBGene00000014,0,4,4
WBGene00000015,0,64,64
WBGene00000016,15,990,1005
WBGene00000017,7,2520,2527
WBGene00000018,274,604,878
WBGene00000019,19,6,25
WBGene00000020,191,602,793
WBGene00000022,17,150,167
WBGene00000023,13,15,28
WBGene00000024,0,2,2
WBGene00000025,0,4,4
WBGene00000027,0,3,3
WBGene00000028,0,0,0
WBGene00000029,0,0,0
WBGene00000030,0,0,0
WBGene00000031,86,20,106
WBGene00000032,0,0,0
WBGene00000033,2,3,5
WBGene00000034,4,59,63
WBGene00000035,2811,525,3336
WBGene00000036,154,603,757
WBGene00000037,36,742,778
WBGene00000038,58,65,123
WBGene00000039,2,10,12
WBGene00000040,20,946,966
WBGene00000041,219,3723,3942
WBGene00000042,59,173,232
WBGene00000043,22,71,93
WBGene00000044,38,77,115
WBGene00000045,4,14,18
WBGene00000046,127,247,374
WBGene00000047,41,186,227
WBGene00000048,8,89,97
WBGene00000049,11,28,39
WBGene00000050,8,49,57
WBGene00000051,23,120,143
WBGene00000053,11,25,36
WBGene00000054,30,119,149
WBGene00000055,8,216,224
WBGene00000056,45,79,124
WBGene00000057,50,72,122
WBGene00000058,155,281,436
WBGene00000059,36,86,122
WBGene00000060,19,29,48
WBGene00000061,14,62,76
WBGene00000062,152,185,337
WBGene00000063,296,52174,52470
WBGene00000064,146,7318,7464
WBGene00000065,105,18053,18158
WBGene00000066,1436,234276,235712
WBGene00000067,15,470,485
WBGene00000068,1210,1228,2438
WBGene00000069,51,173,224
WBGene00000070,179,524,703
WBGene00000071,42,171,213
WBGene00000072,93,676,769
WBGene00000073,93,664,757
WBGene00000074,165,533,698
WBGene00000075,25,111,136
WBGene00000079,232,1948,2180
WBGene00000080,8,297,305
WBGene00000081,87,1318,1405
WBGene00000082,82,110,192
WBGene00000083,264,675,939
WBGene00000084,44,100,144
WBGene00000085,35,199,234
WBGene00000086,148,633,781
WBGene00000088,52,291,343
WBGene00000089,48,778,826
WBGene00000090,100,976,1076
WBGene00000092,320,3129,3449
WBGene00000093,22,271,293
