gene_id,total_unsp,total_sp,total
WBGene00000001.,15,828,843
WBGene00000002.,33,426,459
WBGene00000003.,4,193,197
WBGene00000004.,141,1051,1192
WBGene00000005.,6,6,12
WBGene00000006.,280,2206,2486
WBGene00000007.,4,23,27
WBGene00000008.,6,5,11
WBGene00000009.,10,12,22
WBGene00000010.,37,366,403
WBGene00000012.,14,35,49
WBGene00000013.,0,548,548
WBGene00000014.,0,4,4
WBGene00000015.,0,69,69
WBGene00000016.,15,983,998
WBGene00000017.,7,2518,2525
WBGene00000018.,268,605,873
WBGene00000019.,16,6,22
WBGene00000020.,188,602,790
WBGene00000021.,11,1,12
WBGene00000022.,17,149,166
WBGene00000023.,13,15,28
WBGene00000024.,0,2,2
WBGene00000025.,0,4,4
WBGene00000026.,0,1,1
WBGene00000027.,0,2,2
WBGene00000028.,0,0,0
WBGene00000029.,0,0,0
WBGene00000030.,0,7,7
WBGene00000031.,0,21,21
WBGene00000032.,0,0,0
WBGene00000033.,2,3,5
WBGene00000034.,4,59,63
WBGene00000035.,275,523,798
WBGene00000036.,152,749,901
WBGene00000037.,36,743,779
WBGene00000038.,58,62,120
WBGene00000039.,2,10,12
WBGene00000040.,20,942,962
WBGene00000041.,209,3747,3956
WBGene00000042.,59,166,225
WBGene00000043.,22,71,93
WBGene00000044.,33,72,105
WBGene00000045.,4,14,18
WBGene00000046.,127,252,379
WBGene00000047.,39,196,235
WBGene00000048.,8,88,96
WBGene00000049.,11,29,40
WBGene00000050.,8,50,58
WBGene00000051.,24,120,144
WBGene00000053.,10,21,31
WBGene00000054.,30,119,149
WBGene00000055.,8,216,224
WBGene00000056.,45,76,121
WBGene00000057.,49,72,121
WBGene00000058.,155,291,446
WBGene00000059.,36,86,122
WBGene00000060.,52,118,170
WBGene00000061.,14,63,77
WBGene00000062.,149,187,336
WBGene00000063.,9,50474,50483
WBGene00000064.,146,7287,7433
WBGene00000065.,107,18034,18141
WBGene00000066.,1864,234345,236209
WBGene00000067.,15,468,483
WBGene00000068.,1202,1229,2431
WBGene00000069.,51,173,224
WBGene00000070.,170,528,698
WBGene00000071.,42,171,213
WBGene00000072.,91,674,765
WBGene00000073.,91,661,752
